时间,位移,力
(s),(mm),(N)
"0.0000","0.0000","0.0026"
"0.0200","0.0063","0.1691"
"0.0400","0.1198","0.4725"
"0.0600","0.4503","0.2995"
"0.0800","0.8894","0.1470"
"0.1000","1.3112","0.1851"
"0.1200","1.7028","0.2909"
"0.1400","2.0890","0.3335"
"0.1600","2.4794","0.3680"
"0.1800","2.8729","0.4003"
"0.2000","3.2679","0.4344"
"0.2200","3.6637","0.4613"
"0.2400","4.0595","0.4885"
"0.2600","4.4554","0.5152"
"0.2800","4.8517","0.5370"
"0.3000","5.2485","0.5670"
"0.3200","5.6457","0.5946"
"0.3400","6.0438","0.6141"
"0.3600","6.4423","0.6339"
"0.3800","6.8411","0.6561"
"0.4000","7.2403","0.6777"
"0.4200","7.6399","0.6944"
"0.4400","8.0395","0.7188"
"0.4600","8.4394","0.7332"
"0.4800","8.8396","0.7530"
"0.5000","9.2391","0.7675"
"0.5200","9.6383","0.7852"
"0.5400","10.0375","0.8001"
"0.5600","10.4366","0.8226"
"0.5800","10.8358","0.8348"
"0.6000","11.2356","0.8507"
"0.6200","11.6355","0.8622"
"0.6400","12.0353","0.8793"
"0.6600","12.4356","0.8923"
"0.6800","12.8361","0.9093"
"0.7000","13.2365","0.9251"
"0.7200","13.6370","0.9376"
"0.7400","14.0372","0.9483"
"0.7600","14.4367","0.9649"
"0.7800","14.8362","0.9721"
"0.8000","15.2358","0.9864"
"0.8200","15.6350","0.9997"
"0.8400","16.0346","1.0127"
"0.8600","16.4344","1.0220"
"0.8800","16.8343","1.0345"
"0.9000","17.2343","1.0464"
"0.9200","17.6345","1.0599"
"0.9400","18.0352","1.0684"
"0.9600","18.4360","1.0780"
"0.9800","18.8366","1.0895"
"1.0000","19.2367","1.0989"
"1.0200","19.6363","1.1089"
"1.0400","20.0358","1.1213"
"1.0600","20.4353","1.1297"
"1.0800","20.8349","1.1385"
"1.1000","21.2344","1.1500"
"1.1200","21.6341","1.1594"
"1.1400","22.0342","1.1660"
"1.1600","22.4345","1.1760"
"1.1800","22.8347","1.1852"
"1.2000","23.2353","1.1940"
"1.2200","23.6363","1.1997"
"1.2400","24.0367","1.2092"
"1.2600","24.4362","1.2206"
"1.2800","24.8357","1.2292"
"1.3000","25.2352","1.2383"
"1.3200","25.6346","1.2456"
"1.3400","26.0346","1.2508"
"1.3600","26.4346","1.2573"
"1.3800","26.8342","1.2660"
"1.4000","27.2339","1.2721"
"1.4200","27.6343","1.2824"
"1.4400","28.0349","1.2881"
"1.4600","28.4356","1.2973"
"1.4800","28.8365","1.3020"
"1.5000","29.2368","1.3118"
"1.5200","29.6364","1.3173"
"1.5400","30.0358","1.3251"
"1.5600","30.4353","1.3308"
"1.5800","30.8349","1.3400"
"1.6000","31.2348","1.3430"
"1.6200","31.6345","1.3531"
"1.6400","32.0342","1.3549"
"1.6600","32.4342","1.3662"
"1.6800","32.8345","1.3689"
"1.7000","33.2352","1.3763"
"1.7200","33.6359","1.3791"
"1.7400","34.0361","1.3896"
"1.7600","34.4359","1.3921"
"1.7800","34.8356","1.4021"
"1.8000","35.2353","1.4032"
"1.8200","35.6348","1.4143"
"1.8400","36.0346","1.4151"
"1.8600","36.4344","1.4213"
"1.8800","36.8342","1.4260"
"1.9000","37.2340","1.4324"
"1.9200","37.6340","1.4382"
"1.9400","38.0344","1.4443"
"1.9600","38.4354","1.4467"
"1.9800","38.8363","1.4547"
"2.0000","39.2365","1.4581"
"2.0200","39.6365","1.4628"
"2.0400","40.0361","1.4672"
"2.0600","40.4354","1.4755"
"2.0800","40.8350","1.4802"
"2.1000","41.2348","1.4830"
"2.1200","41.6346","1.4894"
"2.1400","42.0342","1.4944"
