时间,位移,力
(s),(mm),(N)
0,0,0.0006
0.05,0.0952,0.2502
0.1,0.738,0.3074
0.15,1.7277,0.3285
0.2,2.7337,0.3951
0.25,3.74,0.5069
0.3,4.7406,0.5652
0.35,5.7406,0.6334
0.4,6.7407,0.6544
0.45,7.7409,0.7124
0.5,8.7407,0.7486
0.55,9.7406,0.8089
0.6,10.7408,0.8364
0.65,11.7408,0.8751
0.7,12.7409,0.9011
0.75,13.7407,0.9372
0.8,14.7407,0.973
0.85,15.7407,1.0026
0.9,16.7408,1.0329
0.95,17.7408,1.0531
1,18.7408,1.0828
1.05,19.7407,1.103
1.1,20.7407,1.1389
1.15,21.7407,1.1534
1.2,22.7407,1.1817
1.25,23.7408,1.1944
1.3,24.7407,1.2212
1.35,25.7408,1.2347
1.4,26.7408,1.2595
1.45,27.7408,1.2731
1.5,28.7407,1.2902
1.55,29.7407,1.3078
1.6,30.7407,1.3208
1.65,31.7408,1.3415
1.7,32.7407,1.3508
1.75,33.7408,1.3738
1.8,34.7407,1.3803
1.85,35.7407,1.404
1.9,36.7408,1.4101
1.95,37.7407,1.4298
2,38.7407,1.4365
2.05,39.7407,1.4578
2.1,40.7408,1.4641
2.15,41.7408,1.4803
2.2,42.7408,1.4893
2.25,43.7407,1.4988
2.3,44.7407,1.5131
2.35,45.7408,1.5169
2.4,46.7408,1.5348
2.45,47.7407,1.5358
2.5,48.7407,1.5539
2.55,49.7407,1.5533
2.6,50.7408,1.5707
2.65,51.7408,1.5748
2.7,52.7408,1.5915
2.75,53.7407,1.5982
2.8,54.7406,1.6104
2.85,55.7407,1.6171
2.9,56.7408,1.6251
2.95,57.7408,1.6359
3,58.7407,1.6444
3.05,59.7407,1.6551
3.1,60.7407,1.6567
3.15,61.7408,1.6692
3.2,62.7407,1.6695
3.25,63.7407,1.6838
3.3,64.7406,1.6828
3.35,65.7408,1.6967
3.4,66.7409,1.6967
3.45,67.7408,1.7067
3.5,68.7408,1.7102
3.55,69.7407,1.7215
3.6,70.7407,1.7294
3.65,71.7408,1.7334
3.7,72.7408,1.7471
3.75,73.7407,1.7496
3.8,74.7406,1.7624
3.85,75.7407,1.7615
3.9,76.7409,1.7725
3.95,77.7408,1.7743
4,78.7407,1.7855
4.05,79.7406,1.7853
4.1,80.7407,1.795
4.15,81.7408,1.7937
4.2,82.7407,1.8046
4.25,83.7408,1.8068
4.3,84.7407,1.8142
4.35,85.7407,1.8167
4.4,86.7408,1.8209
4.45,87.7408,1.8303
4.5,88.7407,1.8325
4.55,89.7407,1.8476
4.6,90.7407,1.8455
4.65,91.7408,1.8615
4.7,92.7408,1.857
4.75,93.7408,1.871
4.8,94.7407,1.8699
4.85,95.7407,1.8804
4.9,96.7407,1.8813
4.95,97.7407,1.8848
5,98.7408,1.8879
5.05,99.7407,1.8921
5.1,100.7407,1.9015
5.15,101.7408,1.8999
5.2,102.7408,1.9083
5.25,103.7407,1.9072
5.3,104.7407,1.9184
5.35,105.7407,1.9166
5.4,106.7408,1.9333
5.45,107.7407,1.9302
5.5,108.7408,1.9435
5.55,109.7407,1.9416
5.6,110.7408,1.9524
5.65,111.7408,1.9533
5.7,112.7407,1.9619
5.75,113.7407,1.9671
5.8,114.7407,1.9648
5.85,115.7408,1.9762
5.9,116.7408,1.9698
5.95,117.7407,1.9831
6,118.7407,1.9792
6.05,119.7408,1.9903
6.1,120.7407,1.9869
6.15,121.7408,1.9976
6.2,122.7407,1.9973
6.25,123.7407,2.0073
6.3,124.7407,2.0076
6.35,125.7408,2.0154
6.4,126.7408,2.0215
6.45,127.7407,2.0271
6.5,128.7407,2.0325
6.55,129.7407,2.0347
6.6,130.7407,2.0435
6.65,131.7408,2.0421
6.7,132.7408,2.0533
6.75,133.7408,2.0479
6.8,134.7407,2.0591
6.85,135.7407,2.0517
6.9,136.7408,2.064
6.95,137.7407,2.0622
7,138.7406,2.0707
7.05,139.7407,2.074
7.1,140.7408,2.0786
7.15,141.7408,2.0857
7.2,142.7408,2.0868
7.25,143.7407,2.0965
7.3,144.7407,2.0967
7.35,145.7407,2.1085
7.4,146.7408,2.1057
7.45,147.7408,2.1183
7.5,148.7407,2.1138
7.55,149.7407,2.1248
7.6,150.7407,2.1229
7.65,151.7408,2.1328
7.7,152.7408,2.1296
7.75,153.7408,2.137
7.8,154.7407,2.1379
7.85,155.7407,2.1409
7.9,156.7408,2.1504
7.95,157.7408,2.1502
8,158.7408,2.1613
8.05,159.7407,2.1558
8.1,160.0007,2.1696
8.15,160.0207,2.1697
8.2,160.9073,1.8849
8.25,161.1014,2.0056
8.3,160.8799,2.1067
8.35,160.6505,2.1049
8.4,160.4191,2.0671
8.45,160.1932,2.043
8.5,159.9726,2.0954
8.55,159.9274,2.0608
8.6,159.9847,2.0285
8.65,159.9969,2.0328
8.7,159.9989,2.0163
8.75,159.9998,2.0018
8.8,160.0001,1.9987
8.85,160.0001,2.0044
8.9,160.0002,1.9988
8.95,160.0002,1.9876
9,160.0002,1.9755
9.05,160.0002,1.9685
9.1,160.0002,1.9686
9.15,160.0002,1.9661
9.2,160.0002,1.957
9.25,160.0001,1.9473
9.3,160.0001,1.9409
9.35,160.0001,1.9366
9.4,160.0001,1.9339
9.45,160.0001,1.9288
9.5,160.0001,1.9228
9.55,160.0001,1.9156
9.6,160.0001,1.9096
9.65,160.0001,1.9067
9.7,160.0001,1.9026
9.75,160.0001,1.8985
9.8,160.0001,1.8904
9.85,160.0001,1.8853
9.9,160.0001,1.8819
9.95,160.0001,1.8793
10,160.0001,1.8754
