
时间,位移,力
(s),(mm),(N)
"0.0000","0.0000","-0.0028"
"0.0200","0.0005","0.0146"
"0.0400","0.0101","0.0563"
"0.0600","0.0412","0.0341"
"0.0800","0.0839","0.0194"
"0.1000","0.1301","0.0285"
"0.1200","0.1791","0.0335"
"0.1400","0.2296","0.0302"
"0.1600","0.2798","0.0372"
"0.1800","0.3291","0.0429"
"0.2000","0.3777","0.0429"
"0.2200","0.4259","0.0512"
"0.2400","0.4739","0.0530"
"0.2600","0.5220","0.0550"
"0.2800","0.5701","0.0617"
"0.3000","0.6180","0.0630"
"0.3200","0.6659","0.0647"
"0.3400","0.7140","0.0720"
"0.3600","0.7620","0.0731"
"0.3800","0.8100","0.0736"
"0.4000","0.8580","0.0789"
"0.4200","0.9060","0.0826"
"0.4400","0.9540","0.0817"
"0.4600","1.0019","0.0877"
"0.4800","1.0499","0.0894"
"0.5000","1.0979","0.0924"
"0.5200","1.1459","0.0984"
"0.5400","1.1939","0.0948"
"0.5600","1.2420","0.0977"
"0.5800","1.2900","0.1054"
"0.6000","1.3380","0.1050"
"0.6200","1.3860","0.1071"
"0.6400","1.4340","0.1104"
"0.6600","1.4820","0.1113"
"0.6800","1.5300","0.1147"
"0.7000","1.5780","0.1181"
"0.7200","1.6260","0.1191"
"0.7400","1.6740","0.1213"
"0.7600","1.7220","0.1248"
"0.7800","1.7700","0.1259"
"0.8000","1.8180","0.1275"
"0.8200","1.8660","0.1321"
"0.8400","1.9140","0.1324"
"0.8600","1.9620","0.1343"
"0.8800","2.0100","0.1392"
"0.9000","2.0580","0.1385"
"0.9200","2.1061","0.1420"
"0.9400","2.1540","0.1437"
"0.9600","2.2020","0.1444"
"0.9800","2.2500","0.1497"
"1.0000","2.2980","0.1490"
"1.0200","2.3459","0.1508"
"1.0400","2.3939","0.1579"
"1.0600","2.4420","0.1548"
"1.0800","2.4900","0.1576"
"1.1000","2.5380","0.1610"
"1.1200","2.5860","0.1594"
"1.1400","2.6340","0.1659"
"1.1600","2.6819","0.1687"
"1.1800","2.7299","0.1648"
"1.2000","2.7780","0.1709"
"1.2200","2.8260","0.1731"
"1.2400","2.8739","0.1718"
"1.2600","2.9220","0.1770"
"1.2800","2.9700","0.1777"
"1.3000","3.0180","0.1769"
"1.3200","3.0659","0.1840"
"1.3400","3.1140","0.1836"
"1.3600","3.1619","0.1833"
"1.3800","3.2099","0.1889"
"1.4000","3.2579","0.1879"
"1.4200","3.3060","0.1903"
"1.4400","3.3539","0.1933"
"1.4600","3.4019","0.1932"
"1.4800","3.4499","0.1969"
"1.5000","3.4979","0.1974"
"1.5200","3.5459","0.1981"
"1.5400","3.5939","0.2021"
"1.5600","3.6420","0.2025"
"1.5800","3.6900","0.2061"
"1.6000","3.7380","0.2069"
"1.6200","3.7860","0.2063"
"1.6400","3.8340","0.2110"
"1.6600","3.8820","0.2123"
"1.6800","3.9300","0.2130"
"1.7000","3.9780","0.2159"
"1.7200","4.0260","0.2163"
"1.7400","4.0739","0.2177"
"1.7600","4.1220","0.2206"
"1.7800","4.1700","0.2224"
"1.8000","4.2180","0.2224"
"1.8200","4.2659","0.2261"
"1.8400","4.3140","0.2266"
"1.8600","4.3619","0.2264"
"1.8800","4.4099","0.2313"
"1.9000","4.4579","0.2318"
"1.9200","4.5060","0.2326"
"1.9400","4.5539","0.2371"
"1.9600","4.6020","0.2355"
"1.9800","4.6500","0.2383"
"2.0000","4.6980","0.2401"
"2.0200","4.7460","0.2405"
"2.0400","4.7940","0.2442"
"2.0600","4.8421","0.2431"
"2.0800","4.8900","0.2448"
"2.1000","4.9380","0.2501"
"2.1200","4.9860","0.2482"
"2.1400","5.0340","0.2518"
"2.1600","5.0820","0.2524"
"2.1800","5.1299","0.2518"
"2.2000","5.1779","0.2562"
"2.2200","5.2259","0.2572"
"2.2400","5.2739","0.2580"
"2.2600","5.3219","0.2608"
"2.2800","5.3700","0.2606"
"2.3000","5.4179","0.2630"
"2.3200","5.4660","0.2646"
"2.3400","5.5140","0.2649"
"2.3600","5.5620","0.2667"
"2.3800","5.6099","0.2714"
"2.4000","5.6580","0.2709"
"2.4200","5.7060","0.2700"
"2.4400","5.7540","0.2745"
