
时间,位移,力
(s),(mm),(N)
"3.7400","8.8775","0.3632"
"3.7600","8.9255","0.3647"
"3.7800","8.9734","0.3665"
"3.8000","9.0214","0.3681"
"3.8200","9.0694","0.3681"
"3.8400","9.1175","0.3698"
"3.8600","9.1655","0.3707"
"3.8800","9.2135","0.3725"
"3.9000","9.2615","0.3738"
"3.9200","9.3095","0.3745"
"3.9400","9.3575","0.3748"
"3.9600","9.4056","0.3773"
"3.9800","9.4536","0.3789"
"4.0000","9.5016","0.3789"
"4.0200","9.5496","0.3813"
"4.0400","9.5976","0.3821"
"4.0600","9.6456","0.3815"
"4.0800","9.6936","0.3851"
"4.1000","9.7416","0.3846"
"4.1200","9.7896","0.3852"
"4.1400","9.8375","0.3902"
"4.1600","9.8855","0.3868"
"4.1800","9.9336","0.3886"
"4.2000","9.9815","0.3924"
"4.2200","10.0295","0.3920"
"4.2400","10.0775","0.3933"
"4.2600","10.1255","0.3944"
"4.2800","10.1735","0.3951"
"4.3000","10.2215","0.3960"
"4.3200","10.2695","0.3977"
"4.3400","10.3175","0.4004"
"4.3600","10.3655","0.3983"
"4.3800","10.4135","0.4015"
"4.4000","10.4616","0.4024"
"4.4200","10.5095","0.4025"
"4.4400","10.5575","0.4049"
"4.4600","10.6056","0.4052"
"4.4800","10.6535","0.4059"
"4.5000","10.7015","0.4090"
"4.5200","10.7495","0.4076"
"4.5400","10.7975","0.4103"
"4.5600","10.8455","0.4119"
"4.5800","10.8935","0.4130"
"4.6000","10.9416","0.4124"
"4.6200","10.9895","0.4129"
"4.6400","11.0375","0.4172"
"4.6600","11.0855","0.4158"
"4.6800","11.1335","0.4159"
"4.7000","11.1815","0.4204"
"4.7200","11.2295","0.4185"
"4.7400","11.2776","0.4208"
"4.7600","11.3256","0.4211"
"4.7800","11.3735","0.4230"
"4.8000","11.4215","0.4244"
"4.8200","11.4695","0.4250"
"4.8400","11.5175","0.4245"
"4.8600","11.5655","0.4261"
"4.8800","11.6136","0.4289"
"4.9000","11.6616","0.4301"
"4.9200","11.7095","0.4289"
"4.9400","11.7576","0.4317"
"4.9600","11.8056","0.4322"
"4.9800","11.8536","0.4332"
"5.0000","11.9015","0.4346"
"5.0200","11.9496","0.4345"
"5.0400","11.9975","0.4372"
"5.0600","12.0455","0.4375"
"5.0800","12.0935","0.4369"
"5.1000","12.1416","0.4413"
"5.1200","12.1895","0.4399"
"5.1400","12.2375","0.4423"
"5.1600","12.2855","0.4425"
"5.1800","12.3335","0.4423"
"5.2000","12.3815","0.4463"
"5.2200","12.4295","0.4459"
