
时间,位移,力
(s),(mm),(N)
"0.0000","0.0000","0.0031"
"0.0200","0.0005","0.0180"
"0.0400","0.0114","0.0588"
"0.0600","0.0441","0.0346"
"0.0800","0.0874","0.0188"
"0.1000","0.1340","0.0336"
"0.1200","0.1831","0.0386"
"0.1400","0.2334","0.0324"
"0.1600","0.2836","0.0430"
"0.1800","0.3329","0.0456"
"0.2000","0.3814","0.0470"
"0.2200","0.4295","0.0571"
"0.2400","0.4776","0.0571"
"0.2600","0.5257","0.0580"
"0.2800","0.5737","0.0677"
"0.3000","0.6217","0.0678"
"0.3200","0.6698","0.0688"
"0.3400","0.7178","0.0749"
"0.3600","0.7657","0.0772"
"0.3800","0.8137","0.0801"
"0.4000","0.8617","0.0849"
"0.4200","0.9097","0.0861"
"0.4400","0.9577","0.0862"
"0.4600","1.0057","0.0931"
"0.4800","1.0537","0.0959"
"0.5000","1.1017","0.0957"
"0.5200","1.1497","0.1014"
"0.5400","1.1978","0.1013"
"0.5600","1.2457","0.1040"
"0.5800","1.2937","0.1109"
"0.6000","1.3417","0.1101"
"0.6200","1.3897","0.1112"
"0.6400","1.4377","0.1162"
"0.6600","1.4857","0.1173"
"0.6800","1.5338","0.1199"
"0.7000","1.5818","0.1236"
"0.7200","1.6297","0.1241"
"0.7400","1.6777","0.1259"
"0.7600","1.7258","0.1306"
"0.7800","1.7737","0.1327"
"0.8000","1.8216","0.1329"
"0.8200","1.8697","0.1371"
"0.8400","1.9177","0.1375"
"0.8600","1.9656","0.1407"
"0.8800","2.0136","0.1445"
"0.9000","2.0616","0.1431"
"0.9200","2.1096","0.1476"
"0.9400","2.1576","0.1512"
"0.9600","2.2056","0.1507"
"0.9800","2.2536","0.1554"
"1.0000","2.3016","0.1543"
"1.0200","2.3496","0.1573"
"1.0400","2.3977","0.1618"
"1.0600","2.4457","0.1617"
"1.0800","2.4936","0.1632"
"1.1000","2.5417","0.1676"
"1.1200","2.5897","0.1668"
"1.1400","2.6376","0.1716"
"1.1600","2.6856","0.1727"
"1.1800","2.7337","0.1734"
"1.2000","2.7817","0.1754"
"1.2200","2.8297","0.1786"
"1.2400","2.8777","0.1797"
"1.2600","2.9257","0.1829"
"1.2800","2.9737","0.1846"
"1.3000","3.0217","0.1834"
"1.3200","3.0697","0.1867"
"1.3400","3.1177","0.1918"
"1.3600","3.1656","0.1914"
"1.3800","3.2137","0.1940"
"1.4000","3.2617","0.1932"
"1.4200","3.3097","0.1979"
"1.4400","3.3577","0.2014"
"1.4600","3.4057","0.2005"
"1.4800","3.4537","0.2012"
"1.5000","3.5016","0.2048"
"1.5200","3.5496","0.2053"
"1.5400","3.5976","0.2098"
"1.5600","3.6456","0.2096"
"1.5800","3.6937","0.2116"
"1.6000","3.7417","0.2142"
"1.6200","3.7897","0.2147"
"1.6400","3.8377","0.2164"
"1.6600","3.8856","0.2195"
"1.6800","3.9337","0.2200"
"1.7000","3.9817","0.2219"
"1.7200","4.0296","0.2254"
"1.7400","4.0777","0.2262"
"1.7600","4.1257","0.2257"
"1.7800","4.1737","0.2294"
"1.8000","4.2216","0.2293"
"1.8200","4.2697","0.2322"
"1.8400","4.3176","0.2346"
"1.8600","4.3656","0.2366"
"1.8800","4.4136","0.2374"
"1.9000","4.4616","0.2376"
"1.9200","4.5095","0.2408"
"1.9400","4.5576","0.2441"
"1.9600","4.6056","0.2425"
"1.9800","4.6536","0.2453"
"2.0000","4.7016","0.2465"
"2.0200","4.7496","0.2486"
"2.0400","4.7977","0.2515"
"2.0600","4.8456","0.2514"
"2.0800","4.8936","0.2526"
"2.1000","4.9416","0.2556"
"2.1200","4.9897","0.2577"
"2.1400","5.0376","0.2579"
"2.1600","5.0856","0.2587"
"2.1800","5.1337","0.2618"
"2.2000","5.1817","0.2623"
"2.2200","5.2296","0.2654"
"2.2400","5.2777","0.2661"
"2.2600","5.3257","0.2648"
"2.2800","5.3736","0.2714"
"2.3000","5.4216","0.2706"
"2.3200","5.4697","0.2700"
"2.3400","5.5176","0.2748"
"2.3600","5.5656","0.2747"
"2.3800","5.6136","0.2753"
"2.4000","5.6616","0.2785"
"2.4200","5.7096","0.2781"
"2.4400","5.7576","0.2832"
"2.4600","5.8057","0.2821"
"2.4800","5.8537","0.2822"
"2.5000","5.9017","0.2874"
"2.5200","5.9497","0.2874"
"2.5400","5.9978","0.2870"
"2.5600","6.0457","0.2900"
"2.5800","6.0937","0.2910"
"2.6000","6.1417","0.2926"
"2.6200","6.1897","0.2943"
"2.6400","6.2377","0.2956"
"2.6600","6.2857","0.2956"
"2.6800","6.3337","0.2993"
"2.7000","6.3816","0.3001"
"2.7200","6.4296","0.3006"
"2.7400","6.4776","0.3031"
"2.7600","6.5256","0.3035"
"2.7800","6.5736","0.3046"
"2.8000","6.6216","0.3091"
"2.8200","6.6697","0.3073"
"2.8400","6.7176","0.3085"
"2.8600","6.7656","0.3099"
"2.8800","6.8136","0.3139"
"2.9000","6.8616","0.3155"
"2.9200","6.9096","0.3130"
"2.9400","6.9577","0.3163"
"2.9600","7.0057","0.3182"
"2.9800","7.0537","0.3181"
"3.0000","7.1017","0.3220"
"3.0200","7.1497","0.3210"
"3.0400","7.1977","0.3229"
"3.0600","7.2457","0.3257"
"3.0800","7.2937","0.3257"
"3.1000","7.3417","0.3270"
"3.1200","7.3897","0.3288"
"3.1400","7.4377","0.3303"
"3.1600","7.4857","0.3320"
"3.1800","7.5337","0.3322"
"3.2000","7.5816","0.3344"
"3.2200","7.6296","0.3344"
"3.2400","7.6776","0.3368"
"3.2600","7.7256","0.3389"
"3.2800","7.7736","0.3395"
"3.3000","7.8216","0.3406"
"3.3200","7.8697","0.3408"
"3.3400","7.9177","0.3439"
"3.3600","7.9656","0.3453"
"3.3800","8.0137","0.3450"
"3.4000","8.0617","0.3479"
"3.4200","8.1097","0.3471"
"3.4400","8.1578","0.3494"
"3.4600","8.2058","0.3516"
"3.4800","8.2537","0.3507"
"3.5000","8.3017","0.3550"
"3.5200","8.3497","0.3551"
"3.5400","8.3977","0.3541"
"3.5600","8.4456","0.3580"
"3.5800","8.4935","0.3585"
"3.6000","8.5415","0.3586"
"3.6200","8.5895","0.3611"
"3.6400","8.6376","0.3621"
"3.6600","8.6856","0.3645"
"3.6800","8.7337","0.3635"
"3.7000","8.7816","0.3652"
"3.7200","8.8296","0.3671"
"3.7400","8.8777","0.3690"
"3.7600","8.9257","0.3694"
"3.7800","8.9736","0.3701"
"3.8000","9.0217","0.3717"
"3.8200","9.0698","0.3722"
"3.8400","9.1177","0.3757"
"3.8600","9.1657","0.3764"
"3.8800","9.2137","0.3741"
"3.9000","9.2617","0.3790"
"3.9200","9.3096","0.3795"
"3.9400","9.3576","0.3801"
"3.9600","9.4057","0.3820"
"3.9800","9.4537","0.3811"
"4.0000","9.5016","0.3836"
"4.0200","9.5496","0.3856"
"4.0400","9.5976","0.3848"
"4.0600","9.6456","0.3887"
"4.0800","9.6936","0.3875"
"4.1000","9.7416","0.3891"
"4.1200","9.7896","0.3917"
"4.1400","9.8376","0.3918"
"4.1600","9.8856","0.3935"
"4.1800","9.9337","0.3927"
"4.2000","9.9816","0.3944"
"4.2200","10.0296","0.3981"
"4.2400","10.0777","0.3969"
"4.2600","10.1257","0.3973"
"4.2800","10.1736","0.4004"
"4.3000","10.2217","0.4018"
"4.3200","10.2697","0.4011"
"4.3400","10.3177","0.4040"
"4.3600","10.3657","0.4045"
"4.3800","10.4137","0.4041"
"4.4000","10.4617","0.4068"
"4.4200","10.5096","0.4077"
"4.4400","10.5576","0.4088"
"4.4600","10.6056","0.4113"
"4.4800","10.6536","0.4104"
"4.5000","10.7016","0.4117"
"4.5200","10.7496","0.4132"
"4.5400","10.7976","0.4140"
"4.5600","10.8456","0.4174"
"4.5800","10.8936","0.4151"
"4.6000","10.9416","0.4164"
"4.6200","10.9896","0.4214"
"4.6400","11.0376","0.4187"
"4.6600","11.0857","0.4215"
"4.6800","11.1337","0.4217"
