
时间,位移,力
(s),(mm),(N)
"0.0000","0.0000","0.0006"
"0.0200","0.0008","0.0254"
"0.0400","0.0179","0.0938"
"0.0600","0.0719","0.0649"
"0.0800","0.1453","0.0312"
"0.1000","0.2237","0.0505"
"0.1200","0.3051","0.0614"
"0.1400","0.3881","0.0537"
"0.1600","0.4709","0.0670"
"0.1800","0.5525","0.0751"
"0.2000","0.6331","0.0729"
"0.2200","0.7132","0.0876"
"0.2400","0.7932","0.0949"
"0.2600","0.8732","0.0918"
"0.2800","0.9532","0.1028"
"0.3000","1.0332","0.1100"
"0.3200","1.1132","0.1068"
"0.3400","1.1932","0.1190"
"0.3600","1.2732","0.1232"
"0.3800","1.3532","0.1195"
"0.4000","1.4332","0.1334"
"0.4200","1.5132","0.1358"
"0.4400","1.5933","0.1338"
"0.4600","1.6733","0.1470"
"0.4800","1.7533","0.1459"
"0.5000","1.8333","0.1480"
"0.5200","1.9133","0.1601"
"0.5400","1.9933","0.1575"
"0.5600","2.0732","0.1602"
"0.5800","2.1532","0.1708"
"0.6000","2.2331","0.1700"
"0.6200","2.3131","0.1742"
"0.6400","2.3932","0.1814"
"0.6600","2.4732","0.1804"
"0.6800","2.5533","0.1851"
"0.7000","2.6333","0.1918"
"0.7200","2.7133","0.1911"
"0.7400","2.7933","0.1964"
"0.7600","2.8733","0.2024"
"0.7800","2.9532","0.2019"
"0.8000","3.0332","0.2072"
"0.8200","3.1132","0.2113"
"0.8400","3.1932","0.2128"
"0.8600","3.2732","0.2178"
"0.8800","3.3533","0.2200"
"0.9000","3.4333","0.2230"
"0.9200","3.5133","0.2297"
"0.9400","3.5933","0.2293"
"0.9600","3.6734","0.2323"
"0.9800","3.7534","0.2370"
"1.0000","3.8333","0.2397"
"1.0200","3.9133","0.2432"
"1.0400","3.9933","0.2467"
"1.0600","4.0733","0.2478"
"1.0800","4.1532","0.2522"
"1.1000","4.2332","0.2542"
"1.1200","4.3132","0.2593"
"1.1400","4.3932","0.2622"
"1.1600","4.4732","0.2632"
"1.1800","4.5532","0.2669"
"1.2000","4.6332","0.2698"
"1.2200","4.7132","0.2715"
"1.2400","4.7933","0.2772"
"1.2600","4.8733","0.2774"
"1.2800","4.9533","0.2809"
"1.3000","5.0333","0.2864"
"1.3200","5.1133","0.2861"
"1.3400","5.1934","0.2880"
