
时间,位移,力
(s),(mm),(N)
"0.0000","0.0000","0.0002"
"0.0200","0.0002","0.0041"
"0.0400","0.0035","0.0195"
"0.0600","0.0137","0.0098"
"0.0800","0.0269","0.0048"
"0.1000","0.0414","0.0100"
"0.1200","0.0579","0.0113"
"0.1400","0.0756","0.0082"
"0.1600","0.0931","0.0110"
"0.1800","0.1100","0.0119"
"0.2000","0.1264","0.0125"
"0.2200","0.1425","0.0150"
"0.2400","0.1585","0.0166"
"0.2600","0.1744","0.0164"
"0.2800","0.1903","0.0188"
"0.3000","0.2063","0.0196"
"0.3200","0.2223","0.0187"
"0.3400","0.2384","0.0208"
"0.3600","0.2545","0.0231"
"0.3800","0.2706","0.0220"
"0.4000","0.2866","0.0241"
"0.4200","0.3025","0.0257"
"0.4400","0.3185","0.0244"
"0.4600","0.3345","0.0262"
"0.4800","0.3505","0.0279"
"0.5000","0.3664","0.0284"
"0.5200","0.3824","0.0292"
"0.5400","0.3984","0.0307"
"0.5600","0.4144","0.0312"
"0.5800","0.4304","0.0314"
"0.6000","0.4465","0.0335"
"0.6200","0.4626","0.0336"
"0.6400","0.4786","0.0345"
"0.6600","0.4945","0.0351"
"0.6800","0.5105","0.0352"
"0.7000","0.5265","0.0384"
"0.7200","0.5425","0.0380"
"0.7400","0.5584","0.0375"
"0.7600","0.5744","0.0397"
"0.7800","0.5904","0.0397"
"0.8000","0.6065","0.0419"
"0.8200","0.6225","0.0420"
"0.8400","0.6385","0.0415"
"0.8600","0.6545","0.0448"
"0.8800","0.6705","0.0439"
"0.9000","0.6864","0.0434"
"0.9200","0.7023","0.0461"
"0.9400","0.7183","0.0459"
"0.9600","0.7343","0.0466"
"0.9800","0.7503","0.0508"
"1.0000","0.7664","0.0484"
"1.0200","0.7825","0.0467"
"1.0400","0.7985","0.0533"
"1.0600","0.8145","0.0509"
"1.0800","0.8306","0.0495"
"1.1000","0.8466","0.0541"
"1.1200","0.8625","0.0520"
"1.1400","0.8784","0.0547"
"1.1600","0.8944","0.0553"
"1.1800","0.9103","0.0535"
"1.2000","0.9263","0.0583"
"1.2200","0.9424","0.0565"
"1.2400","0.9585","0.0556"
"1.2600","0.9746","0.0604"
"1.2800","0.9906","0.0574"
"1.3000","1.0065","0.0605"
"1.3200","1.0224","0.0615"
"1.3400","1.0384","0.0595"
"1.3600","1.0544","0.0624"
