
时间,位移,力
(s),(mm),(N)
"0.0000","-0.0001","-0.0010"
"0.0200","0.0008","0.0264"
"0.0400","0.0178","0.0958"
"0.0600","0.0716","0.0636"
"0.0800","0.1449","0.0351"
"0.1000","0.2233","0.0516"
"0.1200","0.3046","0.0624"
"0.1400","0.3876","0.0567"
"0.1600","0.4704","0.0683"
"0.1800","0.5521","0.0761"
"0.2000","0.6328","0.0761"
"0.2200","0.7130","0.0888"
"0.2400","0.7930","0.0963"
"0.2600","0.8730","0.0927"
"0.2800","0.9531","0.1055"
"0.3000","1.0332","0.1113"
"0.3200","1.1131","0.1083"
"0.3400","1.1931","0.1207"
"0.3600","1.2731","0.1234"
"0.3800","1.3532","0.1234"
"0.4000","1.4332","0.1358"
"0.4200","1.5131","0.1366"
"0.4400","1.5931","0.1364"
"0.4600","1.6730","0.1489"
"0.4800","1.7530","0.1493"
"0.5000","1.8331","0.1504"
"0.5200","1.9131","0.1599"
"0.5400","1.9931","0.1610"
"0.5600","2.0731","0.1627"
"0.5800","2.1530","0.1730"
"0.6000","2.2331","0.1737"
"0.6200","2.3131","0.1741"
"0.6400","2.3931","0.1839"
"0.6600","2.4731","0.1827"
"0.6800","2.5530","0.1868"
"0.7000","2.6330","0.1954"
"0.7200","2.7130","0.1922"
"0.7400","2.7930","0.1991"
"0.7600","2.8730","0.2048"
"0.7800","2.9530","0.2041"
"0.8000","3.0330","0.2102"
"0.8200","3.1130","0.2133"
"0.8400","3.1930","0.2142"
"0.8600","3.2731","0.2219"
"0.8800","3.3531","0.2226"
"0.9000","3.4331","0.2247"
"0.9200","3.5131","0.2290"
"0.9400","3.5931","0.2329"
"0.9600","3.6731","0.2373"
"0.9800","3.7531","0.2392"
"1.0000","3.8331","0.2418"
"1.0200","3.9131","0.2452"
"1.0400","3.9931","0.2481"
"1.0600","4.0731","0.2517"
"1.0800","4.1532","0.2546"
"1.1000","4.2332","0.2587"
"1.1200","4.3131","0.2595"
"1.1400","4.3931","0.2644"
"1.1600","4.4731","0.2675"
"1.1800","4.5530","0.2695"
"1.2000","4.6330","0.2724"
"1.2200","4.7130","0.2754"
"1.2400","4.7930","0.2781"
"1.2600","4.8730","0.2820"
"1.2800","4.9530","0.2829"
"1.3000","5.0330","0.2883"
"1.3200","5.1130","0.2897"
"1.3400","5.1930","0.2906"
"1.3600","5.2730","0.2968"
"1.3800","5.3531","0.2974"
"1.4000","5.4331","0.3014"
"1.4200","5.5131","0.3047"
"1.4400","5.5931","0.3038"
"1.4600","5.6731","0.3103"
"1.4800","5.7531","0.3125"
"1.5000","5.8331","0.3130"
"1.5200","5.9130","0.3179"
"1.5400","5.9931","0.3191"
"1.5600","6.0731","0.3212"
"1.5800","6.1531","0.3261"
"1.6000","6.2331","0.3257"
"1.6200","6.3132","0.3302"
"1.6400","6.3932","0.3353"
"1.6600","6.4731","0.3337"
"1.6800","6.5530","0.3360"
"1.7000","6.6330","0.3428"
"1.7200","6.7129","0.3418"
"1.7400","6.7929","0.3435"
"1.7600","6.8730","0.3492"
"1.7800","6.9530","0.3489"
"1.8000","7.0330","0.3531"
"1.8200","7.1130","0.3561"
"1.8400","7.1931","0.3555"
"1.8600","7.2731","0.3613"
