
时间,位移,力
(s),(mm),(N)
"0.0000","0.0000","0.0009"
"0.0200","0.0001","0.0023"
"0.0400","0.0027","0.0163"
"0.0600","0.0119","0.0120"
"0.0800","0.0250","0.0055"
"0.1000","0.0390","0.0128"
"0.1200","0.0547","0.0150"
"0.1400","0.0721","0.0119"
"0.1600","0.0897","0.0150"
"0.1800","0.1068","0.0152"
"0.2000","0.1232","0.0145"
"0.2200","0.1393","0.0194"
"0.2400","0.1553","0.0205"
"0.2600","0.1714","0.0194"
"0.2800","0.1874","0.0227"
"0.3000","0.2034","0.0238"
"0.3200","0.2195","0.0238"
"0.3400","0.2355","0.0249"
"0.3600","0.2516","0.0269"
"0.3800","0.2676","0.0272"
"0.4000","0.2836","0.0281"
"0.4200","0.2996","0.0297"
"0.4400","0.3156","0.0287"
"0.4600","0.3315","0.0312"
"0.4800","0.3474","0.0339"
"0.5000","0.3634","0.0316"
"0.5200","0.3794","0.0341"
"0.5400","0.3954","0.0357"
"0.5600","0.4115","0.0356"
"0.5800","0.4276","0.0371"
"0.6000","0.4437","0.0377"
"0.6200","0.4596","0.0373"
"0.6400","0.4756","0.0407"
"0.6600","0.4915","0.0404"
"0.6800","0.5074","0.0403"
"0.7000","0.5234","0.0420"
"0.7200","0.5394","0.0426"
"0.7400","0.5555","0.0425"
"0.7600","0.5716","0.0457"
"0.7800","0.5876","0.0443"
"0.8000","0.6036","0.0460"
"0.8200","0.6197","0.0477"
"0.8400","0.6356","0.0457"
"0.8600","0.6515","0.0490"
"0.8800","0.6674","0.0501"
"0.9000","0.6834","0.0473"
"0.9200","0.6994","0.0532"
"0.9400","0.7154","0.0521"
"0.9600","0.7315","0.0505"
"0.9800","0.7476","0.0549"
"1.0000","0.7636","0.0534"
"1.0200","0.7796","0.0529"
"1.0400","0.7956","0.0568"
"1.0600","0.8115","0.0556"
"1.0800","0.8275","0.0556"
"1.1000","0.8434","0.0582"
"1.1200","0.8594","0.0586"
"1.1400","0.8755","0.0586"
"1.1600","0.8915","0.0600"
"1.1800","0.9075","0.0599"
"1.2000","0.9236","0.0598"
"1.2200","0.9397","0.0626"
"1.2400","0.9556","0.0623"
"1.2600","0.9716","0.0620"
"1.2800","0.9875","0.0650"
"1.3000","1.0035","0.0641"
"1.3200","1.0195","0.0652"
"1.3400","1.0354","0.0660"
"1.3600","1.0514","0.0664"
"1.3800","1.0675","0.0686"
"1.4000","1.0835","0.0666"
"1.4200","1.0996","0.0685"
"1.4400","1.1156","0.0699"
"1.4600","1.1316","0.0681"
"1.4800","1.1476","0.0721"
"1.5000","1.1635","0.0708"
"1.5200","1.1794","0.0701"
"1.5400","1.1954","0.0752"
"1.5600","1.2113","0.0721"
"1.5800","1.2273","0.0727"
"1.6000","1.2434","0.0757"
"1.6200","1.2595","0.0751"
"1.6400","1.2755","0.0751"
"1.6600","1.2916","0.0770"
"1.6800","1.3077","0.0773"
"1.7000","1.3236","0.0767"
"1.7200","1.3395","0.0785"
"1.7400","1.3555","0.0803"
"1.7600","1.3714","0.0783"
"1.7800","1.3874","0.0818"
"1.8000","1.4034","0.0807"
"1.8200","1.4195","0.0803"
"1.8400","1.4356","0.0831"
"1.8600","1.4516","0.0820"
"1.8800","1.4676","0.0833"
"1.9000","1.4836","0.0848"
"1.9200","1.4996","0.0837"
"1.9400","1.5155","0.0858"
"1.9600","1.5315","0.0847"
"1.9800","1.5474","0.0874"
"2.0000","1.5634","0.0884"
"2.0200","1.5794","0.0859"
"2.0400","1.5954","0.0890"
"2.0600","1.6115","0.0897"
"2.0800","1.6275","0.0884"
"2.1000","1.6435","0.0919"
"2.1200","1.6595","0.0901"
"2.1400","1.6755","0.0915"
"2.1600","1.6914","0.0937"
"2.1800","1.7074","0.0923"
"2.2000","1.7233","0.0922"
"2.2200","1.7394","0.0949"
"2.2400","1.7555","0.0947"
"2.2600","1.7716","0.0941"
"2.2800","1.7876","0.0961"
"2.3000","1.8036","0.0963"
"2.3200","1.8197","0.0956"
"2.3400","1.8356","0.0981"
"2.3600","1.8515","0.0975"
"2.3800","1.8674","0.0980"
"2.4000","1.8834","0.0992"
"2.4200","1.8994","0.0994"
"2.4400","1.9154","0.1004"
"2.4600","1.9315","0.1002"
"2.4800","1.9476","0.1009"
"2.5000","1.9636","0.1030"
"2.5200","1.9796","0.1006"
"2.5400","1.9956","0.1041"
"2.5600","2.0115","0.1043"
"2.5800","2.0274","0.1019"
"2.6000","2.0434","0.1061"
"2.6200","2.0594","0.1046"
"2.6400","2.0754","0.1046"
"2.6600","2.0914","0.1082"
"2.6800","2.1075","0.1069"
"2.7000","2.1236","0.1064"
"2.7200","2.1396","0.1085"
"2.7400","2.1556","0.1088"
"2.7600","2.1716","0.1076"
