
时间,位移,力
(s),(mm),(N)
"3.7400","8.8735","0.3352"
"3.7600","8.9216","0.3351"
"3.7800","8.9697","0.3368"
"3.8000","9.0177","0.3371"
"3.8200","9.0657","0.3381"
"3.8400","9.1137","0.3404"
"3.8600","9.1617","0.3396"
"3.8800","9.2097","0.3434"
"3.9000","9.2578","0.3432"
"3.9200","9.3058","0.3437"
"3.9400","9.3538","0.3445"
"3.9600","9.4017","0.3461"
"3.9800","9.4497","0.3487"
"4.0000","9.4977","0.3463"
"4.0200","9.5457","0.3495"
"4.0400","9.5937","0.3516"
"4.0600","9.6417","0.3500"
"4.0800","9.6897","0.3549"
"4.1000","9.7377","0.3541"
"4.1200","9.7857","0.3540"
"4.1400","9.8337","0.3578"
"4.1600","9.8817","0.3564"
"4.1800","9.9297","0.3580"
"4.2000","9.9777","0.3604"
"4.2200","10.0257","0.3592"
"4.2400","10.0737","0.3620"
"4.2600","10.1217","0.3624"
"4.2800","10.1697","0.3641"
"4.3000","10.2177","0.3654"
"4.3200","10.2658","0.3652"
"4.3400","10.3138","0.3667"
"4.3600","10.3618","0.3677"
"4.3800","10.4098","0.3687"
"4.4000","10.4578","0.3701"
"4.4200","10.5058","0.3698"
"4.4400","10.5537","0.3715"
"4.4600","10.6017","0.3737"
"4.4800","10.6498","0.3738"
"4.5000","10.6977","0.3738"
"4.5200","10.7457","0.3765"
"4.5400","10.7936","0.3771"
"4.5600","10.8416","0.3780"
"4.5800","10.8896","0.3799"
"4.6000","10.9376","0.3788"
"4.6200","10.9857","0.3808"
"4.6400","11.0337","0.3842"
"4.6600","11.0817","0.3818"
"4.6800","11.1297","0.3836"
"4.7000","11.1777","0.3850"
"4.7200","11.2257","0.3856"
"4.7400","11.2738","0.3878"
"4.7600","11.3218","0.3862"
"4.7800","11.3698","0.3900"
"4.8000","11.4177","0.3917"
"4.8200","11.4657","0.3889"
"4.8400","11.5137","0.3923"
"4.8600","11.5617","0.3934"
"4.8800","11.6097","0.3931"
"4.9000","11.6577","0.3950"
"4.9200","11.7057","0.3959"
"4.9400","11.7537","0.3969"
"4.9600","11.8017","0.3985"
"4.9800","11.8497","0.3996"
"5.0000","11.8977","0.3993"
"5.0200","11.9456","0.4020"
