时间,位移,力
(s),(mm),(N)
"0.0000","0.0000","-0.0010"
"0.0200","0.0063","0.1748"
"0.0400","0.1195","0.4923"
"0.0600","0.4493","0.3401"
"0.0800","0.8884","0.1880"
"0.1000","1.3117","0.2187"
"0.1200","1.7039","0.3193"
"0.1400","2.0899","0.3616"
"0.1600","2.4797","0.3938"
"0.1800","2.8722","0.4206"
"0.2000","3.2657","0.4505"
"0.2200","3.6605","0.4805"
"0.2400","4.0565","0.5038"
"0.2600","4.4529","0.5342"
"0.2800","4.8500","0.5533"
"0.3000","5.2476","0.5823"
"0.3200","5.6458","0.6037"
"0.3400","6.0445","0.6235"
"0.3600","6.4438","0.6425"
"0.3800","6.8428","0.6662"
"0.4000","7.2413","0.6847"
"0.4200","7.6399","0.7025"
"0.4400","8.0386","0.7225"
"0.4600","8.4374","0.7436"
"0.4800","8.8365","0.7613"
"0.5000","9.2361","0.7770"
"0.5200","9.6358","0.7933"
"0.5400","10.0357","0.8052"
"0.5600","10.4361","0.8254"
"0.5800","10.8366","0.8382"
"0.6000","11.2373","0.8537"
"0.6200","11.6375","0.8669"
"0.6400","12.0370","0.8865"
"0.6600","12.4362","0.8970"
"0.6800","12.8356","0.9120"
"0.7000","13.2350","0.9249"
"0.7200","13.6345","0.9391"
"0.7400","14.0343","0.9489"
"0.7600","14.4341","0.9651"
"0.7800","14.8339","0.9760"
"0.8000","15.2338","0.9902"
"0.8200","15.6341","0.9984"
"0.8400","16.0348","1.0137"
"0.8600","16.4354","1.0206"
"0.8800","16.8355","1.0370"
"0.9000","17.2354","1.0427"
"0.9200","17.6349","1.0569"
"0.9400","18.0344","1.0641"
"0.9600","18.4341","1.0778"
"0.9800","18.8339","1.0856"
"1.0000","19.2338","1.1000"
"1.0200","19.6337","1.1042"
"1.0400","20.0338","1.1186"
"1.0600","20.4340","1.1282"
"1.0800","20.8345","1.1388"
"1.1000","21.2357","1.1435"
"1.1200","21.6363","1.1551"
"1.1400","22.0360","1.1619"
"1.1600","22.4355","1.1734"
"1.1800","22.8351","1.1814"
"1.2000","23.2345","1.1911"
"1.2200","23.6341","1.1960"
"1.2400","24.0339","1.2056"
"1.2600","24.4335","1.2150"
"1.2800","24.8331","1.2243"
"1.3000","25.2331","1.2330"
"1.3200","25.6336","1.2424"
"1.3400","26.0343","1.2492"
"1.3600","26.4353","1.2533"
"1.3800","26.8358","1.2621"
"1.4000","27.2357","1.2691"
"1.4200","27.6351","1.2751"
"1.4400","28.0347","1.2832"
"1.4600","28.4344","1.2903"
"1.4800","28.8341","1.2957"
"1.5000","29.2340","1.3039"
"1.5200","29.6338","1.3101"
"1.5400","30.0337","1.3185"
"1.5600","30.4340","1.3250"
"1.5800","30.8347","1.3334"
"1.6000","31.2354","1.3351"
"1.6200","31.6357","1.3416"
"1.6400","32.0355","1.3461"
"1.6600","32.4350","1.3567"
"1.6800","32.8344","1.3625"
"1.7000","33.2340","1.3721"
"1.7200","33.6339","1.3749"
"1.7400","34.0338","1.3825"
"1.7600","34.4337","1.3822"
"1.7800","34.8335","1.3923"
"1.8000","35.2333","1.3983"
"1.8200","35.6336","1.4076"
"1.8400","36.0343","1.4086"
"1.8600","36.4351","1.4145"
"1.8800","36.8353","1.4202"
"1.9000","37.2355","1.4256"
"1.9200","37.6353","1.4286"
"1.9400","38.0348","1.4382"
"1.9600","38.4344","1.4413"
"1.9800","38.8345","1.4460"
"2.0000","39.2345","1.4493"
"2.0200","39.6341","1.4590"
"2.0400","40.0338","1.4610"
"2.0600","40.4339","1.4711"
"2.0800","40.8342","1.4715"
"2.1000","41.2347","1.4747"
"2.1200","41.6352","1.4780"
"2.1400","42.0351","1.4877"
"2.1600","42.4349","1.4887"
"2.1800","42.8350","1.4943"
"2.2000","43.2346","1.4987"
"2.2200","43.6341","1.5064"
"2.2400","44.0341","1.5074"
"2.2600","44.4342","1.5150"
"2.2800","44.8338","1.5186"
"2.3000","45.2337","1.5224"
"2.3200","45.6342","1.5234"
"2.3400","46.0347","1.5298"
"2.3600","46.4352","1.5337"
"2.3800","46.8354","1.5420"
"2.4000","47.2355","1.5436"
"2.4200","47.6351","1.5499"
"2.4400","48.0349","1.5514"
"2.4600","48.4347","1.5570"
"2.4800","48.8345","1.5582"
"2.5000","49.2341","1.5650"
"2.5200","49.6339","1.5690"
"2.5400","50.0339","1.5722"
"2.5600","50.4338","1.5760"
"2.5800","50.8342","1.5791"
"2.6000","51.2348","1.5817"
"2.6200","51.6352","1.5851"
"2.6400","52.0350","1.5909"
"2.6600","52.4345","1.5909"
"2.6800","52.8340","1.5983"
"2.7000","53.2337","1.5986"
"2.7200","53.6338","1.6071"
"2.7400","54.0341","1.6082"
"2.7600","54.4343","1.6142"
"2.7800","54.8341","1.6159"
"2.8000","55.2341","1.6241"
"2.8200","55.6343","1.6238"
"2.8400","56.0347","1.6250"
"2.8600","56.4352","1.6258"
"2.8800","56.8352","1.6339"
"2.9000","57.2350","1.6350"
"2.9200","57.6348","1.6402"
"2.9400","58.0347","1.6433"
"2.9600","58.4345","1.6501"
"2.9800","58.8347","1.6469"
