时间,位移,力
(s),(mm),(N)
"0.0000","0.0000","0.0025"
"0.0200","0.0056","0.1530"
"0.0400","0.1108","0.4720"
"0.0600","0.4313","0.3285"
"0.0800","0.8688","0.1678"
"0.1000","1.2932","0.1933"
"0.1200","1.6860","0.2975"
"0.1400","2.0719","0.3465"
"0.1600","2.4618","0.3795"
"0.1800","2.8546","0.4064"
"0.2000","3.2492","0.4437"
"0.2200","3.6453","0.4695"
"0.2400","4.0421","0.4960"
"0.2600","4.4385","0.5263"
"0.2800","4.8351","0.5460"
"0.3000","5.2316","0.5749"
"0.3200","5.6284","0.5988"
"0.3400","6.0259","0.6233"
"0.3600","6.4245","0.6384"
"0.3800","6.8231","0.6693"
"0.4000","7.2220","0.6866"
"0.4200","7.6215","0.7069"
"0.4400","8.0213","0.7218"
"0.4600","8.4210","0.7454"
"0.4800","8.8212","0.7583"
"0.5000","9.2214","0.7783"
"0.5200","9.6208","0.7918"
"0.5400","10.0196","0.8114"
"0.5600","10.4186","0.8267"
"0.5800","10.8179","0.8459"
"0.6000","11.2175","0.8559"
"0.6200","11.6173","0.8725"
"0.6400","12.0171","0.8866"
"0.6600","12.4169","0.9047"
"0.6800","12.8174","0.9143"
"0.7000","13.2180","0.9327"
"0.7200","13.6186","0.9431"
"0.7400","14.0193","0.9566"
"0.7600","14.4193","0.9667"
"0.7800","14.8186","0.9864"
"0.8000","15.2180","0.9929"
"0.8200","15.6175","1.0084"
"0.8400","16.0168","1.0191"
"0.8600","16.4165","1.0299"
"0.8800","16.8163","1.0403"
"0.9000","17.2164","1.0552"
"0.9200","17.6164","1.0651"
"0.9400","18.0166","1.0776"
"0.9600","18.4172","1.0843"
"0.9800","18.8179","1.0957"
"1.0000","19.2183","1.1035"
"1.0200","19.6182","1.1159"
"1.0400","20.0177","1.1243"
"1.0600","20.4170","1.1371"
"1.0800","20.8166","1.1443"
"1.1000","21.2164","1.1545"
"1.1200","21.6162","1.1631"
"1.1400","22.0160","1.1740"
"1.1600","22.4162","1.1812"
"1.1800","22.8165","1.1912"
"1.2000","23.2168","1.1992"
"1.2200","23.6177","1.2092"
"1.2400","24.0188","1.2131"
"1.2600","24.4189","1.2241"
"1.2800","24.8183","1.2326"
"1.3000","25.2177","1.2404"
"1.3200","25.6170","1.2506"
"1.3400","26.0163","1.2604"
"1.3600","26.4163","1.2630"
"1.3800","26.8162","1.2721"
"1.4000","27.2160","1.2765"
"1.4200","27.6159","1.2838"
"1.4400","28.0162","1.2938"
"1.4600","28.4168","1.3020"
"1.4800","28.8177","1.3066"
"1.5000","29.2184","1.3139"
"1.5200","29.6185","1.3218"
"1.5400","30.0179","1.3283"
"1.5600","30.4174","1.3358"
"1.5800","30.8171","1.3405"
"1.6000","31.2167","1.3500"
"1.6200","31.6167","1.3514"
"1.6400","32.0165","1.3605"
"1.6600","32.4163","1.3643"
