时间,位移,力
(s),(mm),(N)
11.5,228.7396,2.4567
11.55,229.7395,2.4633
11.6,230.7395,2.4695
11.65,231.7395,2.4721
11.7,232.7396,2.4789
11.75,233.7396,2.4814
11.8,234.7395,2.4928
11.85,235.7395,2.4941
11.9,236.7395,2.5051
11.95,237.7396,2.5004
12,238.7396,2.5127
12.05,239.7395,2.5063
12.1,240.0195,2.5119
12.15,240.0395,2.5126
12.2,240.9257,2.2379
12.25,241.1172,2.3593
12.3,240.8845,2.4823
12.35,240.6478,2.477
12.4,240.4073,2.4359
12.45,240.172,2.4137
12.5,239.9492,2.4994
12.55,239.9332,2.4268
12.6,239.9877,2.4113
12.65,239.9972,2.4161
12.7,239.9994,2.3949
12.75,240,2.3832
12.8,240.0001,2.3842
12.85,240.0001,2.3862
12.9,240.0001,2.3861
12.95,240.0001,2.3725
13,240.0001,2.3585
13.05,240.0001,2.353
13.1,240.0001,2.3555
13.15,240.0001,2.3548
13.2,240.0001,2.3469
13.25,240.0001,2.3362
13.3,240.0001,2.3267
13.35,240.0001,2.3265
13.4,240.0001,2.325
13.45,240.0001,2.3185
13.5,240.0001,2.3155
13.55,240.0001,2.3045
13.6,240,2.2988
13.65,240,2.2978
13.7,240,2.2949
13.75,240,2.2904
13.8,240,2.2836
13.85,240,2.2782
13.9,240,2.2738
13.95,240,2.2724
14,240,2.2686
14.05,240,2.2617
14.1,240,2.2574
14.15,240,2.253
14.2,240,2.25
14.25,240,2.2469
14.3,240,2.2431
14.35,240,2.2395
14.4,240,2.2331
14.45,240,2.2305
14.5,240,2.2272
14.55,240,2.224
14.6,240,2.2205
14.65,240,2.2159
14.7,240,2.211
14.75,240,2.2094
14.8,240,2.205
14.85,240,2.2029
14.9,240,2.1982
14.95,240,2.1944
15,240,2.1902
15.05,240,2.187
15.1,240,2.1854
15.15,240,2.183
15.2,240,2.1785
15.25,240,2.1743
15.3,240,2.1716
15.35,240,2.1688
15.4,240,2.1655
15.45,240,2.1614
15.5,240,2.1589
15.55,240,2.1553
15.6,240,2.1536
15.65,240,2.1495
15.7,240,2.1471
15.75,240,2.1449
15.8,240,2.1406
15.85,240,2.1381
15.9,240,2.1338
15.95,240,2.1323
16,240,2.1296
16.05,240,2.1281
16.1,240,2.1232
16.15,240,2.1217
16.2,240,2.1186
16.25,240,2.1151
16.3,240,2.1141
16.35,240,2.1089
16.4,240,2.1077
16.45,240,2.1054
16.5,240,2.1028
16.55,240,2.0997
16.6,240,2.097
16.65,240,2.0956
16.7,240,2.0917
16.75,240,2.0888
16.8,240,2.0875
16.85,240,2.0843
16.9,240,2.0804
16.95,240,2.0794
17,240,2.0768
17.05,240,2.0749
