
时间,位移,力
(s),(mm),(N)
"0.0000","0.0000","-0.0009"
"0.0200","0.0004","0.0130"
"0.0400","0.0098","0.0568"
"0.0600","0.0408","0.0386"
"0.0800","0.0834","0.0244"
"0.1000","0.1296","0.0338"
"0.1200","0.1787","0.0408"
"0.1400","0.2291","0.0361"
"0.1600","0.2793","0.0451"
"0.1800","0.3287","0.0487"
"0.2000","0.3772","0.0489"
"0.2200","0.4254","0.0590"
"0.2400","0.4735","0.0624"
"0.2600","0.5216","0.0599"
"0.2800","0.5697","0.0689"
"0.3000","0.6176","0.0715"
"0.3200","0.6657","0.0717"
"0.3400","0.7137","0.0776"
"0.3600","0.7616","0.0817"
"0.3800","0.8096","0.0806"
"0.4000","0.8576","0.0860"
"0.4200","0.9056","0.0901"
"0.4400","0.9536","0.0903"
"0.4600","1.0016","0.0947"
"0.4800","1.0496","0.0977"
"0.5000","1.0975","0.0965"
"0.5200","1.1455","0.1053"
"0.5400","1.1935","0.1058"
"0.5600","1.2415","0.1046"
"0.5800","1.2895","0.1119"
"0.6000","1.3376","0.1128"
"0.6200","1.3856","0.1145"
"0.6400","1.4335","0.1203"
"0.6600","1.4815","0.1186"
"0.6800","1.5295","0.1212"
"0.7000","1.5776","0.1265"
"0.7200","1.6255","0.1286"
"0.7400","1.6736","0.1299"
"0.7600","1.7216","0.1318"
"0.7800","1.7696","0.1339"
"0.8000","1.8175","0.1380"
"0.8200","1.8655","0.1398"
"0.8400","1.9136","0.1399"
"0.8600","1.9615","0.1443"
"0.8800","2.0095","0.1473"
"0.9000","2.0576","0.1466"
"0.9200","2.1056","0.1513"
"0.9400","2.1535","0.1536"
"0.9600","2.2015","0.1528"
"0.9800","2.2496","0.1569"
"1.0000","2.2975","0.1589"
"1.0200","2.3455","0.1617"
"1.0400","2.3935","0.1631"
"1.0600","2.4415","0.1628"
"1.0800","2.4895","0.1671"
"1.1000","2.5375","0.1707"
"1.1200","2.5856","0.1698"
"1.1400","2.6335","0.1740"
"1.1600","2.6815","0.1748"
"1.1800","2.7296","0.1771"
"1.2000","2.7776","0.1790"
"1.2200","2.8256","0.1807"
"1.2400","2.8736","0.1841"
"1.2600","2.9217","0.1855"
"1.2800","2.9696","0.1856"
"1.3000","3.0175","0.1902"
"1.3200","3.0655","0.1894"
"1.3400","3.1135","0.1919"
"1.3600","3.1614","0.1954"
"1.3800","3.2093","0.1980"
"1.4000","3.2573","0.1969"
"1.4200","3.3054","0.1991"
"1.4400","3.3534","0.2035"
"1.4600","3.4015","0.2054"
"1.4800","3.4496","0.2055"
"1.5000","3.4975","0.2070"
"1.5200","3.5455","0.2072"
"1.5400","3.5936","0.2130"
"1.5600","3.6416","0.2143"
"1.5800","3.6896","0.2146"
"1.6000","3.7376","0.2160"
"1.6200","3.7857","0.2187"
"1.6400","3.8336","0.2215"
"1.6600","3.8816","0.2231"
"1.6800","3.9296","0.2227"
"1.7000","3.9776","0.2263"
"1.7200","4.0255","0.2265"
"1.7400","4.0735","0.2293"
"1.7600","4.1216","0.2309"
"1.7800","4.1695","0.2319"
"1.8000","4.2175","0.2338"
"1.8200","4.2655","0.2361"
"1.8400","4.3135","0.2369"
"1.8600","4.3614","0.2407"
"1.8800","4.4094","0.2402"
"1.9000","4.4575","0.2413"
"1.9200","4.5054","0.2450"
"1.9400","4.5534","0.2464"
"1.9600","4.6015","0.2470"
"1.9800","4.6496","0.2488"
"2.0000","4.6975","0.2503"
"2.0200","4.7455","0.2525"
"2.0400","4.7936","0.2525"
"2.0600","4.8416","0.2546"
"2.0800","4.8895","0.2604"
"2.1000","4.9376","0.2597"
"2.1200","4.9856","0.2577"
"2.1400","5.0336","0.2616"
"2.1600","5.0816","0.2643"
"2.1800","5.1296","0.2665"
"2.2000","5.1775","0.2667"
"2.2200","5.2255","0.2667"
"2.2400","5.2735","0.2699"
"2.2600","5.3215","0.2722"
"2.2800","5.3694","0.2726"
"2.3000","5.4175","0.2742"
"2.3200","5.4656","0.2758"
"2.3400","5.5136","0.2765"
"2.3600","5.5615","0.2783"
"2.3800","5.6095","0.2810"
"2.4000","5.6575","0.2819"
"2.4200","5.7055","0.2821"
"2.4400","5.7535","0.2859"
"2.4600","5.8016","0.2870"
"2.4800","5.8495","0.2879"
"2.5000","5.8975","0.2894"
"2.5200","5.9455","0.2905"
"2.5400","5.9936","0.2925"
"2.5600","6.0416","0.2942"
"2.5800","6.0895","0.2956"
"2.6000","6.1375","0.2975"
"2.6200","6.1855","0.2959"
"2.6400","6.2335","0.3014"
"2.6600","6.2815","0.3032"
"2.6800","6.3295","0.3000"
"2.7000","6.3775","0.3066"
"2.7200","6.4255","0.3071"
"2.7400","6.4735","0.3015"
"2.7600","6.5215","0.3101"
