
时间,位移,力
(s),(mm),(N)
"0.0000","0.0000","-0.0013"
"0.0200","0.0005","0.0146"
"0.0400","0.0100","0.0558"
"0.0600","0.0415","0.0376"
"0.0800","0.0850","0.0224"
"0.1000","0.1314","0.0300"
"0.1200","0.1799","0.0389"
"0.1400","0.2299","0.0359"
"0.1600","0.2799","0.0413"
"0.1800","0.3291","0.0490"
"0.2000","0.3776","0.0481"
"0.2200","0.4258","0.0549"
"0.2400","0.4738","0.0625"
"0.2600","0.5219","0.0600"
"0.2800","0.5700","0.0670"
"0.3000","0.6180","0.0705"
"0.3200","0.6660","0.0700"
"0.3400","0.7140","0.0771"
"0.3600","0.7620","0.0804"
"0.3800","0.8099","0.0792"
"0.4000","0.8579","0.0875"
"0.4200","0.9060","0.0887"
"0.4400","0.9540","0.0887"
"0.4600","1.0019","0.0954"
"0.4800","1.0499","0.0969"
"0.5000","1.0980","0.0957"
"0.5200","1.1459","0.1044"
"0.5400","1.1939","0.1030"
"0.5600","1.2420","0.1049"
"0.5800","1.2899","0.1118"
"0.6000","1.3378","0.1107"
"0.6200","1.3858","0.1140"
"0.6400","1.4339","0.1201"
"0.6600","1.4819","0.1179"
"0.6800","1.5299","0.1225"
"0.7000","1.5779","0.1254"
"0.7200","1.6259","0.1252"
"0.7400","1.6739","0.1292"
"0.7600","1.7218","0.1327"
"0.7800","1.7699","0.1337"
"0.8000","1.8179","0.1361"
"0.8200","1.8659","0.1374"
"0.8400","1.9139","0.1401"
"0.8600","1.9619","0.1429"
"0.8800","2.0099","0.1466"
"0.9000","2.0579","0.1472"
"0.9200","2.1059","0.1498"
"0.9400","2.1538","0.1513"
"0.9600","2.2018","0.1544"
"0.9800","2.2499","0.1580"
"1.0000","2.2979","0.1568"
"1.0200","2.3458","0.1607"
"1.0400","2.3938","0.1641"
"1.0600","2.4419","0.1632"
"1.0800","2.4898","0.1679"
"1.1000","2.5378","0.1682"
"1.1200","2.5859","0.1701"
"1.1400","2.6339","0.1748"
"1.1600","2.6819","0.1742"
"1.1800","2.7299","0.1763"
"1.2000","2.7779","0.1799"
"1.2200","2.8259","0.1811"
"1.2400","2.8739","0.1837"
"1.2600","2.9219","0.1847"
"1.2800","2.9699","0.1870"
"1.3000","3.0179","0.1883"
"1.3200","3.0659","0.1902"
"1.3400","3.1139","0.1933"
"1.3600","3.1619","0.1929"
"1.3800","3.2099","0.1972"
"1.4000","3.2579","0.1986"
"1.4200","3.3059","0.1982"
"1.4400","3.3539","0.2024"
"1.4600","3.4018","0.2048"
"1.4800","3.4499","0.2046"
"1.5000","3.4979","0.2075"
"1.5200","3.5459","0.2095"
"1.5400","3.5939","0.2121"
"1.5600","3.6420","0.2120"
"1.5800","3.6899","0.2153"
"1.6000","3.7379","0.2167"
"1.6200","3.7860","0.2174"
"1.6400","3.8340","0.2210"
