
时间,位移,力
(s),(mm),(N)
"0.0000","0.0000","0.0008"
"0.0200","0.0008","0.0231"
"0.0400","0.0181","0.0936"
"0.0600","0.0723","0.0624"
"0.0800","0.1458","0.0311"
"0.1000","0.2242","0.0472"
"0.1200","0.3055","0.0606"
"0.1400","0.3884","0.0540"
"0.1600","0.4712","0.0673"
"0.1800","0.5528","0.0774"
"0.2000","0.6335","0.0746"
"0.2200","0.7137","0.0895"
"0.2400","0.7937","0.0957"
"0.2600","0.8736","0.0943"
"0.2800","0.9536","0.1075"
"0.3000","1.0336","0.1129"
"0.3200","1.1137","0.1100"
"0.3400","1.1937","0.1244"
"0.3600","1.2738","0.1251"
"0.3800","1.3538","0.1250"
"0.4000","1.4338","0.1411"
"0.4200","1.5138","0.1397"
"0.4400","1.5938","0.1400"
"0.4600","1.6738","0.1531"
"0.4800","1.7538","0.1513"
"0.5000","1.8338","0.1561"
"0.5200","1.9137","0.1650"
"0.5400","1.9937","0.1631"
"0.5600","2.0737","0.1700"
"0.5800","2.1537","0.1771"
"0.6000","2.2337","0.1758"
"0.6200","2.3137","0.1823"
"0.6400","2.3937","0.1877"
"0.6600","2.4737","0.1886"
"0.6800","2.5537","0.1932"
"0.7000","2.6338","0.1988"
"0.7200","2.7138","0.2002"
"0.7400","2.7938","0.2054"
"0.7600","2.8738","0.2098"
"0.7800","2.9538","0.2118"
"0.8000","3.0338","0.2167"
"0.8200","3.1138","0.2194"
"0.8400","3.1938","0.2224"
"0.8600","3.2737","0.2278"
"0.8800","3.3537","0.2304"
"0.9000","3.4337","0.2344"
"0.9200","3.5137","0.2369"
"0.9400","3.5937","0.2398"
"0.9600","3.6738","0.2453"
"0.9800","3.7538","0.2475"
"1.0000","3.8338","0.2503"
"1.0200","3.9138","0.2538"
"1.0400","3.9938","0.2558"
"1.0600","4.0738","0.2614"
"1.0800","4.1538","0.2625"
"1.1000","4.2337","0.2667"
"1.1200","4.3137","0.2714"
"1.1400","4.3937","0.2709"
"1.1600","4.4736","0.2777"
"1.1800","4.5536","0.2800"
"1.2000","4.6336","0.2804"
"1.2200","4.7136","0.2860"
"1.2400","4.7936","0.2877"
"1.2600","4.8737","0.2900"
"1.2800","4.9537","0.2959"
"1.3000","5.0337","0.2970"
"1.3200","5.1137","0.2984"
"1.3400","5.1937","0.3036"
"1.3600","5.2737","0.3058"
"1.3800","5.3537","0.3073"
"1.4000","5.4337","0.3130"
"1.4200","5.5137","0.3153"
"1.4400","5.5936","0.3157"
"1.4600","5.6736","0.3203"
"1.4800","5.7537","0.3221"
"1.5000","5.8337","0.3244"
"1.5200","5.9137","0.3303"
"1.5400","5.9937","0.3292"
"1.5600","6.0738","0.3336"
"1.5800","6.1538","0.3364"
"1.6000","6.2338","0.3374"
"1.6200","6.3137","0.3439"
"1.6400","6.3937","0.3441"
"1.6600","6.4737","0.3453"
"1.6800","6.5537","0.3501"
"1.7000","6.6337","0.3507"
"1.7200","6.7137","0.3549"
"1.7400","6.7937","0.3581"
"1.7600","6.8737","0.3593"
"1.7800","6.9537","0.3621"
"1.8000","7.0337","0.3651"
"1.8200","7.1137","0.3663"
"1.8400","7.1938","0.3697"
"1.8600","7.2738","0.3728"
