
时间,位移,力
(s),(mm),(N)
"3.7400","2.9555","0.1340"
"3.7600","2.9715","0.1323"
"3.7800","2.9876","0.1327"
"3.8000","3.0037","0.1346"
"3.8200","3.0197","0.1338"
"3.8400","3.0356","0.1350"
"3.8600","3.0515","0.1356"
"3.8800","3.0674","0.1361"
"3.9000","3.0834","0.1353"
"3.9200","3.0994","0.1383"
"3.9400","3.1154","0.1370"
"3.9600","3.1315","0.1373"
"3.9800","3.1476","0.1388"
"4.0000","3.1636","0.1386"
"4.0200","3.1796","0.1397"
"4.0400","3.1956","0.1398"
"4.0600","3.2115","0.1383"
"4.0800","3.2275","0.1430"
"4.1000","3.2434","0.1405"
"4.1200","3.2594","0.1419"
"4.1400","3.2754","0.1433"
"4.1600","3.2915","0.1416"
"4.1800","3.3076","0.1445"
"4.2000","3.3236","0.1434"
"4.2200","3.3397","0.1428"
"4.2400","3.3556","0.1470"
"4.2600","3.3716","0.1445"
"4.2800","3.3875","0.1458"
"4.3000","3.4034","0.1466"
"4.3200","3.4194","0.1469"
"4.3400","3.4354","0.1475"
"4.3600","3.4515","0.1481"
"4.3800","3.4676","0.1481"
"4.4000","3.4836","0.1479"
"4.4200","3.4996","0.1492"
"4.4400","3.5156","0.1507"
"4.4600","3.5316","0.1493"
"4.4800","3.5475","0.1515"
"4.5000","3.5635","0.1504"
"4.5200","3.5794","0.1515"
"4.5400","3.5953","0.1537"
"4.5600","3.6113","0.1516"
"4.5800","3.6275","0.1545"
"4.6000","3.6436","0.1531"
"4.6200","3.6596","0.1529"
"4.6400","3.6756","0.1563"
"4.6600","3.6916","0.1539"
"4.6800","3.7075","0.1556"
"4.7000","3.7235","0.1576"
"4.7200","3.7395","0.1547"
"4.7400","3.7555","0.1579"
"4.7600","3.7714","0.1581"
"4.7800","3.7874","0.1561"
"4.8000","3.8035","0.1595"
"4.8200","3.8195","0.1598"
"4.8400","3.8356","0.1587"
"4.8600","3.8516","0.1613"
"4.8800","3.8676","0.1602"
"4.9000","3.8836","0.1603"
"4.9200","3.8995","0.1612"
"4.9400","3.9155","0.1626"
"4.9600","3.9314","0.1616"
"4.9800","3.9474","0.1635"
"5.0000","3.9634","0.1633"
"5.0200","3.9795","0.1628"
"5.0400","3.9955","0.1645"
"5.0600","4.0116","0.1636"
"5.0800","4.0276","0.1645"
"5.1000","4.0436","0.1655"
"5.1200","4.0595","0.1661"
"5.1400","4.0755","0.1680"
"5.1600","4.0914","0.1658"
"5.1800","4.1073","0.1674"
"5.2000","4.1234","0.1684"
"5.2200","4.1395","0.1671"
"5.2400","4.1556","0.1693"
"5.2600","4.1716","0.1700"
"5.2800","4.1877","0.1666"
"5.3000","4.2037","0.1707"
"5.3200","4.2196","0.1714"
"5.3400","4.2355","0.1705"
"5.3600","4.2514","0.1717"
"5.3800","4.2674","0.1722"
"5.4000","4.2834","0.1707"
"5.4200","4.2994","0.1740"
"5.4400","4.3155","0.1742"
"5.4600","4.3316","0.1715"
"5.4800","4.3476","0.1749"
"5.5000","4.3636","0.1747"
"5.5200","4.3796","0.1737"
"5.5400","4.3956","0.1767"
"5.5600","4.4115","0.1751"
"5.5800","4.4274","0.1763"
"5.6000","4.4434","0.1774"
"5.6200","4.4594","0.1767"
"5.6400","4.4754","0.1782"
"5.6600","4.4915","0.1784"
"5.6800","4.5076","0.1778"
"5.7000","4.5236","0.1796"
"5.7200","4.5396","0.1794"
"5.7400","4.5556","0.1803"
"5.7600","4.5716","0.1798"
"5.7800","4.5876","0.1807"
"5.8000","4.6035","0.1824"
"5.8200","4.6195","0.1808"
"5.8400","4.6355","0.1814"
"5.8600","4.6515","0.1825"
"5.8800","4.6676","0.1838"
"5.9000","4.6836","0.1843"
"5.9200","4.6996","0.1826"
"5.9400","4.7157","0.1842"
"5.9600","4.7316","0.1854"
"5.9800","4.7475","0.1847"
"6.0000","4.7634","0.1865"
"6.0200","4.7794","0.1857"
"6.0400","4.7953","0.1862"
"6.0600","4.8114","0.1875"
"6.0800","4.8275","0.1873"
"6.1000","4.8436","0.1870"
"6.1200","4.8596","0.1886"
"6.1400","4.8756","0.1894"
"6.1600","4.8916","0.1881"
"6.1800","4.9075","0.1889"
"6.2000","4.9234","0.1923"
"6.2200","4.9394","0.1894"
"6.2400","4.9554","0.1907"
"6.2600","4.9713","0.1914"
"6.2800","4.9874","0.1910"
"6.3000","5.0036","0.1931"
"6.3200","5.0196","0.1927"
"6.3400","5.0356","0.1910"
"6.3600","5.0516","0.1941"
"6.3800","5.0676","0.1939"
"6.4000","5.0836","0.1937"
"6.4200","5.0995","0.1947"
"6.4400","5.1155","0.1967"
"6.4600","5.1314","0.1948"
"6.4800","5.1474","0.1951"
"6.5000","5.1634","0.1970"
"6.5200","5.1795","0.1963"
"6.5400","5.1956","0.1971"
"6.5600","5.2116","0.1980"
"6.5800","5.2276","0.1963"
"6.6000","5.2436","0.1993"
"6.6200","5.2595","0.1999"
"6.6400","5.2755","0.1993"
"6.6600","5.2914","0.1987"
"6.6800","5.3074","0.1993"
"6.7000","5.3234","0.2016"
"6.7200","5.3395","0.2015"
"6.7400","5.3555","0.2003"
"6.7600","5.3716","0.2020"
"6.7800","5.3876","0.2010"
"6.8000","5.4036","0.2029"
"6.8200","5.4195","0.2034"
"6.8400","5.4355","0.2030"
"6.8600","5.4515","0.2030"
"6.8800","5.4674","0.2044"
"6.9000","5.4834","0.2048"
"6.9200","5.4995","0.2045"
"6.9400","5.5156","0.2070"
"6.9600","5.5316","0.2052"
"6.9800","5.5476","0.2053"
"7.0000","5.5636","0.2085"
"7.0200","5.5796","0.2057"
"7.0400","5.5955","0.2075"
"7.0600","5.6115","0.2088"
"7.0800","5.6274","0.2069"
"7.1000","5.6434","0.2101"
"7.1200","5.6594","0.2097"
"7.1400","5.6755","0.2093"
"7.1600","5.6916","0.2105"
"7.1800","5.7076","0.2092"
"7.2000","5.7236","0.2114"
"7.2200","5.7396","0.2118"
"7.2400","5.7555","0.2119"
"7.2600","5.7715","0.2129"
"7.2800","5.7874","0.2110"
"7.3000","5.8034","0.2128"
"7.3200","5.8194","0.2137"
"7.3400","5.8354","0.2133"
"7.3600","5.8515","0.2137"
"7.3800","5.8675","0.2154"
"7.4000","5.8836","0.2146"
"7.4200","5.8996","0.2145"
"7.4400","5.9156","0.2165"
"7.4600","5.9315","0.2167"
"7.4800","5.9474","0.2141"
"7.5000","5.9634","0.2192"
"7.5200","5.9793","0.2178"
"7.5400","5.9954","0.2159"
"7.5600","6.0115","0.2194"
"7.5800","6.0276","0.2176"
"7.6000","6.0436","0.2182"
"7.6200","6.0596","0.2211"
"7.6400","6.0756","0.2174"
"7.6600","6.0916","0.2206"
"7.6800","6.1075","0.2212"
"7.7000","6.1234","0.2205"
"7.7200","6.1394","0.2209"
"7.7400","6.1554","0.2209"
"7.7600","6.1714","0.2227"
"7.7800","6.1875","0.2226"
"7.8000","6.2036","0.2221"
"7.8200","6.2196","0.2240"
"7.8400","6.2356","0.2229"
"7.8600","6.2516","0.2245"
"7.8800","6.2676","0.2246"
"7.9000","6.2836","0.2236"
"7.9200","6.2995","0.2250"
"7.9400","6.3154","0.2262"
"7.9600","6.3314","0.2258"
"7.9800","6.3474","0.2259"
"8.0000","6.3635","0.2275"
"8.0200","6.3796","0.2271"
"8.0400","6.3956","0.2266"
"8.0600","6.4116","0.2294"
"8.0800","6.4276","0.2275"
"8.1000","6.4436","0.2273"
"8.1200","6.4596","0.2301"
"8.1400","6.4755","0.2282"
"8.1600","6.4915","0.2302"
"8.1800","6.5075","0.2307"
"8.2000","6.5235","0.2288"
"8.2200","6.5395","0.2322"
"8.2400","6.5555","0.2316"
"8.2600","6.5716","0.2315"
"8.2800","6.5876","0.2326"
"8.3000","6.6036","0.2318"
"8.3200","6.6196","0.2342"
"8.3400","6.6355","0.2321"
"8.3600","6.6515","0.2318"
"8.3800","6.6674","0.2356"
"8.4000","6.6834","0.2341"
"8.4200","6.6995","0.2348"
"8.4400","6.7156","0.2352"
"8.4600","6.7316","0.2353"
"8.4800","6.7477","0.2365"
"8.5000","6.7637","0.2360"
"8.5200","6.7796","0.2365"
"8.5400","6.7955","0.2357"
"8.5600","6.8114","0.2376"
"8.5800","6.8274","0.2386"
"8.6000","6.8434","0.2366"
"8.6200","6.8594","0.2400"
"8.6400","6.8755","0.2393"
"8.6600","6.8916","0.2386"
"8.6800","6.9076","0.2404"
"8.7000","6.9236","0.2395"
"8.7200","6.9396","0.2406"
"8.7400","6.9556","0.2415"
"8.7600","6.9715","0.2401"
"8.7800","6.9874","0.2425"
"8.8000","7.0034","0.2417"
"8.8200","7.0194","0.2416"
"8.8400","7.0354","0.2432"
"8.8600","7.0515","0.2425"
"8.8800","7.0676","0.2441"
"8.9000","7.0836","0.2434"
"8.9200","7.0996","0.2430"
"8.9400","7.1156","0.2461"
"8.9600","7.1315","0.2452"
"8.9800","7.1475","0.2438"
"9.0000","7.1634","0.2450"
"9.0200","7.1794","0.2470"
"9.0400","7.1955","0.2462"
"9.0600","7.2115","0.2473"
"9.0800","7.2276","0.2469"
"9.1000","7.2436","0.2467"
"9.1200","7.2596","0.2487"
"9.1400","7.2756","0.2478"
"9.1600","7.2916","0.2482"
"9.1800","7.3075","0.2501"
"9.2000","7.3235","0.2481"
"9.2200","7.3395","0.2495"
"9.2400","7.3554","0.2504"
"9.2600","7.3714","0.2497"
"9.2800","7.3875","0.2514"
"9.3000","7.4036","0.2503"
"9.3200","7.4196","0.2514"
"9.3400","7.4356","0.2531"
"9.3600","7.4516","0.2507"
"9.3800","7.4676","0.2530"
"9.4000","7.4835","0.2524"
"9.4200","7.4994","0.2523"
"9.4400","7.5154","0.2544"
"9.4600","7.5314","0.2535"
"9.4800","7.5475","0.2538"
"9.5000","7.5635","0.2562"
"9.5200","7.5796","0.2551"
"9.5400","7.5956","0.2543"
"9.5600","7.6116","0.2557"
"9.5800","7.6276","0.2565"
"9.6000","7.6435","0.2556"
"9.6200","7.6595","0.2570"
"9.6400","7.6754","0.2576"
"9.6600","7.6914","0.2559"
"9.6800","7.7075","0.2589"
"9.7000","7.7235","0.2589"
"9.7200","7.7396","0.2584"
"9.7400","7.7556","0.2602"
"9.7600","7.7716","0.2572"
"9.7800","7.7876","0.2603"
"9.8000","7.8035","0.2605"
"9.8200","7.8195","0.2598"
"9.8400","7.8354","0.2622"
"9.8600","7.8514","0.2606"
"9.8800","7.8673","0.2615"
"9.9000","7.8834","0.2627"
"9.9200","7.8995","0.2611"
"9.9400","7.9156","0.2634"
"9.9600","7.9316","0.2624"
"9.9800","7.9476","0.2621"
"10.0000","7.9636","0.2644"
"10.0200","7.9795","0.2638"
"10.0400","7.9955","0.2643"
"10.0600","8.0115","0.2642"
"10.0800","8.0274","0.2650"
"10.1000","8.0434","0.2656"
"10.1200","8.0594","0.2668"
"10.1400","8.0755","0.2669"
"10.1600","8.0916","0.2639"
"10.1800","8.1076","0.2673"
"10.2000","8.1236","0.2689"
"10.2200","8.1396","0.2657"
"10.2400","8.1555","0.2682"
"10.2600","8.1715","0.2678"
"10.2800","8.1874","0.2677"
"10.3000","8.2034","0.2694"
"10.3200","8.2194","0.2690"
"10.3400","8.2355","0.2696"
"10.3600","8.2516","0.2708"
"10.3800","8.2676","0.2705"
"10.4000","8.2836","0.2715"
