
时间,位移,力
(s),(mm),(N)
"0.0000","0.0000","-0.0012"
"0.0200","0.0001","0.0036"
"0.0400","0.0026","0.0156"
"0.0600","0.0115","0.0108"
"0.0800","0.0243","0.0057"
"0.1000","0.0382","0.0099"
"0.1200","0.0542","0.0116"
"0.1400","0.0716","0.0086"
"0.1600","0.0893","0.0099"
"0.1800","0.1064","0.0105"
"0.2000","0.1229","0.0123"
"0.2200","0.1391","0.0141"
"0.2400","0.1552","0.0144"
"0.2600","0.1712","0.0163"
"0.2800","0.1873","0.0166"
"0.3000","0.2032","0.0190"
"0.3200","0.2192","0.0185"
"0.3400","0.2352","0.0204"
"0.3600","0.2511","0.0220"
"0.3800","0.2671","0.0197"
"0.4000","0.2831","0.0235"
"0.4200","0.2992","0.0265"
"0.4400","0.3153","0.0225"
"0.4600","0.3313","0.0265"
"0.4800","0.3473","0.0275"
"0.5000","0.3632","0.0259"
"0.5200","0.3792","0.0308"
"0.5400","0.3952","0.0292"
"0.5600","0.4111","0.0286"
"0.5800","0.4271","0.0335"
"0.6000","0.4432","0.0314"
"0.6200","0.4592","0.0330"
"0.6400","0.4753","0.0352"
"0.6600","0.4913","0.0346"
"0.6800","0.5074","0.0349"
"0.7000","0.5233","0.0377"
"0.7200","0.5393","0.0361"
"0.7400","0.5552","0.0381"
"0.7600","0.5712","0.0397"
"0.7800","0.5871","0.0393"
"0.8000","0.6031","0.0409"
"0.8200","0.6191","0.0427"
"0.8400","0.6352","0.0410"
"0.8600","0.6513","0.0448"
"0.8800","0.6673","0.0435"
"0.9000","0.6833","0.0449"
"0.9200","0.6993","0.0469"
"0.9400","0.7152","0.0445"
"0.9600","0.7312","0.0476"
"0.9800","0.7471","0.0498"
"1.0000","0.7631","0.0468"
"1.0200","0.7791","0.0509"
"1.0400","0.7951","0.0505"
"1.0600","0.8112","0.0499"
"1.0800","0.8273","0.0515"
"1.1000","0.8433","0.0525"
"1.1200","0.8593","0.0523"
"1.1400","0.8753","0.0552"
"1.1600","0.8913","0.0554"
"1.1800","0.9072","0.0538"
"1.2000","0.9231","0.0561"
"1.2200","0.9391","0.0589"
"1.2400","0.9550","0.0563"
"1.2600","0.9711","0.0584"
"1.2800","0.9872","0.0593"
"1.3000","1.0034","0.0594"
"1.3200","1.0194","0.0616"
"1.3400","1.0353","0.0594"
"1.3600","1.0512","0.0617"
"1.3800","1.0672","0.0630"
"1.4000","1.0831","0.0627"
"1.4200","1.0990","0.0653"
"1.4400","1.1150","0.0636"
"1.4600","1.1311","0.0656"
"1.4800","1.1472","0.0673"
"1.5000","1.1632","0.0656"
"1.5200","1.1792","0.0672"
"1.5400","1.1953","0.0690"
"1.5600","1.2112","0.0683"
"1.5800","1.2272","0.0694"
"1.6000","1.2432","0.0711"
"1.6200","1.2592","0.0698"
"1.6400","1.2751","0.0711"
"1.6600","1.2911","0.0733"
"1.6800","1.3071","0.0729"
"1.7000","1.3232","0.0724"
"1.7200","1.3392","0.0750"
"1.7400","1.3553","0.0738"
"1.7600","1.3713","0.0764"
"1.7800","1.3873","0.0765"
"1.8000","1.4032","0.0753"
"1.8200","1.4192","0.0780"
"1.8400","1.4351","0.0778"
"1.8600","1.4510","0.0785"
"1.8800","1.4670","0.0806"
"1.9000","1.4831","0.0794"
"1.9200","1.4993","0.0813"
"1.9400","1.5153","0.0811"
"1.9600","1.5313","0.0821"
"1.9800","1.5473","0.0834"
"2.0000","1.5633","0.0826"
"2.0200","1.5792","0.0835"
"2.0400","1.5951","0.0855"
"2.0600","1.6111","0.0850"
"2.0800","1.6271","0.0864"
"2.1000","1.6431","0.0871"
"2.1200","1.6592","0.0868"
"2.1400","1.6753","0.0881"
"2.1600","1.6913","0.0888"
"2.1800","1.7073","0.0884"
"2.2000","1.7233","0.0900"
"2.2200","1.7392","0.0914"
"2.2400","1.7552","0.0895"
"2.2600","1.7711","0.0914"
"2.2800","1.7870","0.0939"
"2.3000","1.8031","0.0924"
"2.3200","1.8192","0.0937"
"2.3400","1.8353","0.0928"
"2.3600","1.8513","0.0948"
"2.3800","1.8674","0.0972"
"2.4000","1.8834","0.0940"
"2.4200","1.8993","0.0961"
"2.4400","1.9152","0.0982"
"2.4600","1.9312","0.0966"
"2.4800","1.9472","0.0986"
"2.5000","1.9631","0.0972"
"2.5200","1.9791","0.0991"
"2.5400","1.9952","0.1022"
"2.5600","2.0112","0.0987"
"2.5800","2.0272","0.1003"
"2.6000","2.0432","0.1030"
"2.6200","2.0593","0.1020"
"2.6400","2.0753","0.1022"
"2.6600","2.0912","0.1039"
"2.6800","2.1071","0.1043"
"2.7000","2.1231","0.1042"
"2.7200","2.1391","0.1054"
"2.7400","2.1550","0.1058"
"2.7600","2.1711","0.1059"
"2.7800","2.1873","0.1074"
"2.8000","2.2033","0.1056"
"2.8200","2.2193","0.1083"
"2.8400","2.2353","0.1108"
"2.8600","2.2513","0.1080"
"2.8800","2.2672","0.1110"
"2.9000","2.2832","0.1100"
"2.9200","2.2991","0.1101"
"2.9400","2.3151","0.1133"
"2.9600","2.3311","0.1092"
"2.9800","2.3472","0.1139"
"3.0000","2.3633","0.1140"
"3.0200","2.3793","0.1118"
"3.0400","2.3953","0.1162"
"3.0600","2.4113","0.1137"
"3.0800","2.4272","0.1149"
"3.1000","2.4432","0.1183"
"3.1200","2.4592","0.1138"
"3.1400","2.4751","0.1169"
"3.1600","2.4911","0.1196"
"3.1800","2.5072","0.1170"
"3.2000","2.5232","0.1183"
"3.2200","2.5392","0.1199"
"3.2400","2.5553","0.1187"
"3.2600","2.5713","0.1203"
"3.2800","2.5873","0.1215"
"3.3000","2.6032","0.1205"
"3.3200","2.6192","0.1229"
"3.3400","2.6352","0.1239"
"3.3600","2.6511","0.1204"
"3.3800","2.6671","0.1246"
"3.4000","2.6832","0.1245"
"3.4200","2.6993","0.1243"
"3.4400","2.7153","0.1274"
"3.4600","2.7313","0.1244"
"3.4800","2.7474","0.1259"
"3.5000","2.7633","0.1275"
"3.5200","2.7792","0.1256"
"3.5400","2.7952","0.1298"
"3.5600","2.8111","0.1280"
"3.5800","2.8271","0.1279"
"3.6000","2.8431","0.1315"
"3.6200","2.8592","0.1286"
"3.6400","2.8753","0.1297"
"3.6600","2.8913","0.1326"
"3.6800","2.9073","0.1303"
"3.7000","2.9233","0.1323"
"3.7200","2.9392","0.1336"
"3.7400","2.9552","0.1319"
"3.7600","2.9711","0.1337"
"3.7800","2.9870","0.1350"
"3.8000","3.0031","0.1352"
"3.8200","3.0191","0.1350"
"3.8400","3.0352","0.1360"
"3.8600","3.0513","0.1350"
"3.8800","3.0673","0.1378"
"3.9000","3.0833","0.1367"
"3.9200","3.0993","0.1359"
"3.9400","3.1153","0.1393"
"3.9600","3.1312","0.1387"
"3.9800","3.1471","0.1389"
"4.0000","3.1631","0.1412"
"4.0200","3.1791","0.1380"
"4.0400","3.1952","0.1424"
"4.0600","3.2112","0.1426"
"4.0800","3.2273","0.1399"
"4.1000","3.2433","0.1428"
"4.1200","3.2593","0.1425"
"4.1400","3.2752","0.1416"
"4.1600","3.2912","0.1457"
"4.1800","3.3071","0.1444"
"4.2000","3.3231","0.1446"
"4.2200","3.3390","0.1453"
"4.2400","3.3550","0.1444"
"4.2600","3.3712","0.1460"
"4.2800","3.3873","0.1487"
"4.3000","3.4033","0.1465"
"4.3200","3.4193","0.1457"
"4.3400","3.4353","0.1489"
"4.3600","3.4512","0.1491"
"4.3800","3.4672","0.1490"
"4.4000","3.4831","0.1514"
"4.4200","3.4992","0.1486"
"4.4400","3.5152","0.1508"
"4.4600","3.5312","0.1522"
"4.4800","3.5472","0.1509"
"4.5000","3.5633","0.1537"
"4.5200","3.5793","0.1522"
"4.5400","3.5953","0.1517"
"4.5600","3.6113","0.1558"
"4.5800","3.6273","0.1533"
"4.6000","3.6432","0.1563"
"4.6200","3.6591","0.1543"
