
时间,位移,力
(s),(mm),(N)
"0.0000","0.0000","-0.0007"
"0.0200","0.0008","0.0246"
"0.0400","0.0177","0.0951"
"0.0600","0.0714","0.0619"
"0.0800","0.1446","0.0309"
"0.1000","0.2230","0.0491"
"0.1200","0.3044","0.0609"
"0.1400","0.3875","0.0537"
"0.1600","0.4704","0.0664"
"0.1800","0.5520","0.0772"
"0.2000","0.6327","0.0766"
"0.2200","0.7129","0.0891"
"0.2400","0.7929","0.0972"
"0.2600","0.8729","0.0957"
"0.2800","0.9529","0.1051"
"0.3000","1.0329","0.1127"
"0.3200","1.1129","0.1124"
"0.3400","1.1929","0.1223"
"0.3600","1.2729","0.1269"
"0.3800","1.3529","0.1272"
"0.4000","1.4329","0.1349"
"0.4200","1.5129","0.1423"
"0.4400","1.5929","0.1426"
"0.4600","1.6730","0.1493"
"0.4800","1.7530","0.1540"
"0.5000","1.8330","0.1543"
"0.5200","1.9130","0.1625"
"0.5400","1.9929","0.1674"
"0.5600","2.0729","0.1681"
"0.5800","2.1530","0.1750"
"0.6000","2.2330","0.1774"
"0.6200","2.3130","0.1811"
"0.6400","2.3930","0.1882"
"0.6600","2.4730","0.1888"
"0.6800","2.5530","0.1916"
"0.7000","2.6329","0.1991"
"0.7200","2.7129","0.2004"
"0.7400","2.7929","0.2047"
"0.7600","2.8729","0.2097"
"0.7800","2.9529","0.2116"
"0.8000","3.0329","0.2159"
"0.8200","3.1129","0.2207"
"0.8400","3.1929","0.2222"
"0.8600","3.2729","0.2250"
"0.8800","3.3529","0.2321"
"0.9000","3.4329","0.2329"
"0.9200","3.5129","0.2356"
"0.9400","3.5929","0.2417"
"0.9600","3.6729","0.2432"
"0.9800","3.7529","0.2460"
"1.0000","3.8329","0.2514"
"1.0200","3.9129","0.2522"
"1.0400","3.9929","0.2576"
"1.0600","4.0729","0.2603"
"1.0800","4.1529","0.2615"
"1.1000","4.2329","0.2660"
"1.1200","4.3129","0.2684"
"1.1400","4.3929","0.2728"
"1.1600","4.4729","0.2763"
"1.1800","4.5529","0.2772"
"1.2000","4.6329","0.2827"
"1.2200","4.7128","0.2841"
"1.2400","4.7928","0.2880"
"1.2600","4.8728","0.2914"
"1.2800","4.9528","0.2932"
"1.3000","5.0329","0.2956"
