
时间,位移,力
(s),(mm),(N)
"0.0000","0.0000","-0.0018"
"0.0200","0.0009","0.0292"
"0.0400","0.0193","0.0955"
"0.0600","0.0750","0.0594"
"0.0800","0.1492","0.0308"
"0.1000","0.2280","0.0480"
"0.1200","0.3094","0.0606"
"0.1400","0.3922","0.0557"
"0.1600","0.4748","0.0670"
"0.1800","0.5563","0.0754"
"0.2000","0.6369","0.0754"
"0.2200","0.7170","0.0894"
"0.2400","0.7969","0.0959"
"0.2600","0.8769","0.0931"
"0.2800","0.9569","0.1055"
"0.3000","1.0370","0.1109"
"0.3200","1.1170","0.1094"
"0.3400","1.1970","0.1215"
"0.3600","1.2770","0.1244"
"0.3800","1.3571","0.1248"
"0.4000","1.4371","0.1368"
"0.4200","1.5170","0.1376"
"0.4400","1.5970","0.1377"
"0.4600","1.6770","0.1505"
"0.4800","1.7570","0.1491"
"0.5000","1.8370","0.1519"
"0.5200","1.9170","0.1633"
"0.5400","1.9969","0.1603"
"0.5600","2.0769","0.1652"
"0.5800","2.1569","0.1747"
"0.6000","2.2370","0.1719"
"0.6200","2.3170","0.1776"
"0.6400","2.3970","0.1854"
"0.6600","2.4770","0.1838"
"0.6800","2.5570","0.1895"
"0.7000","2.6370","0.1953"
"0.7200","2.7170","0.1948"
"0.7400","2.7970","0.2021"
"0.7600","2.8770","0.2057"
"0.7800","2.9569","0.2064"
"0.8000","3.0370","0.2122"
"0.8200","3.1170","0.2168"
"0.8400","3.1970","0.2167"
"0.8600","3.2771","0.2213"
"0.8800","3.3571","0.2260"
"0.9000","3.4371","0.2283"
"0.9200","3.5171","0.2329"
"0.9400","3.5970","0.2341"
"0.9600","3.6770","0.2378"
"0.9800","3.7570","0.2423"
"1.0000","3.8370","0.2431"
"1.0200","3.9170","0.2484"
"1.0400","3.9970","0.2517"
"1.0600","4.0770","0.2533"
"1.0800","4.1570","0.2580"
"1.1000","4.2370","0.2597"
"1.1200","4.3170","0.2627"
