
时间,位移,力
(s),(mm),(N)
"3.7400","14.7933","0.5713"
"3.7600","14.8732","0.5751"
"3.7800","14.9532","0.5767"
"3.8000","15.0332","0.5751"
"3.8200","15.1133","0.5802"
"3.8400","15.1933","0.5821"
"3.8600","15.2734","0.5815"
"3.8800","15.3534","0.5842"
"3.9000","15.4334","0.5849"
"3.9200","15.5134","0.5876"
"3.9400","15.5934","0.5898"
"3.9600","15.6734","0.5907"
"3.9800","15.7534","0.5926"
"4.0000","15.8334","0.5944"
"4.0200","15.9134","0.5957"
"4.0400","15.9934","0.5970"
"4.0600","16.0734","0.5984"
"4.0800","16.1534","0.5999"
"4.1000","16.2334","0.6026"
"4.1200","16.3134","0.6044"
"4.1400","16.3935","0.6036"
"4.1600","16.4734","0.6086"
"4.1800","16.5534","0.6073"
"4.2000","16.6334","0.6087"
"4.2200","16.7134","0.6136"
"4.2400","16.7933","0.6132"
"4.2600","16.8732","0.6144"
"4.2800","16.9532","0.6168"
"4.3000","17.0332","0.6174"
"4.3200","17.1133","0.6203"
"4.3400","17.1933","0.6205"
"4.3600","17.2734","0.6218"
"4.3800","17.3534","0.6247"
"4.4000","17.4334","0.6246"
"4.4200","17.5134","0.6263"
"4.4400","17.5935","0.6291"
"4.4600","17.6734","0.6288"
"4.4800","17.7534","0.6324"
"4.5000","17.8334","0.6324"
"4.5200","17.9134","0.6339"
"4.5400","17.9934","0.6358"
"4.5600","18.0734","0.6385"
"4.5800","18.1534","0.6367"
"4.6000","18.2334","0.6408"
"4.6200","18.3134","0.6434"
"4.6400","18.3934","0.6424"
"4.6600","18.4735","0.6457"
"4.6800","18.5535","0.6466"
"4.7000","18.6334","0.6463"
"4.7200","18.7134","0.6509"
"4.7400","18.7933","0.6509"
"4.7600","18.8732","0.6507"
"4.7800","18.9532","0.6554"
"4.8000","19.0332","0.6545"
"4.8200","19.1132","0.6548"
"4.8400","19.1933","0.6580"
"4.8600","19.2734","0.6585"
"4.8800","19.3534","0.6606"
"4.9000","19.4334","0.6626"
"4.9200","19.5134","0.6622"
"4.9400","19.5934","0.6646"
"4.9600","19.6734","0.6668"
"4.9800","19.7533","0.6672"
"5.0000","19.8333","0.6695"
"5.0200","19.9133","0.6703"
"5.0400","19.9933","0.6703"
"5.0600","20.0733","0.6742"
"5.0800","20.1533","0.6728"
"5.1000","20.2333","0.6745"
"5.1200","20.3133","0.6791"
"5.1400","20.3933","0.6773"
"5.1600","20.4733","0.6787"
"5.1800","20.5534","0.6823"
"5.2000","20.6334","0.6812"
"5.2200","20.7134","0.6841"
"5.2400","20.7934","0.6855"
"5.2600","20.8734","0.6845"
"5.2800","20.9534","0.6895"
"5.3000","21.0334","0.6899"
"5.3200","21.1134","0.6888"
"5.3400","21.1934","0.6914"
"5.3600","21.2733","0.6939"
"5.3800","21.3533","0.6942"
"5.4000","21.4333","0.6953"
"5.4200","21.5133","0.6975"
"5.4400","21.5933","0.6973"
"5.4600","21.6733","0.7011"
"5.4800","21.7533","0.7006"
"5.5000","21.8333","0.7017"
"5.5200","21.9133","0.7040"
"5.5400","21.9933","0.7037"
"5.5600","22.0733","0.7055"
"5.5800","22.1533","0.7074"
"5.6000","22.2334","0.7067"
"5.6200","22.3134","0.7108"
"5.6400","22.3934","0.7111"
"5.6600","22.4734","0.7108"
"5.6800","22.5534","0.7146"
"5.7000","22.6334","0.7147"
"5.7200","22.7134","0.7154"
"5.7400","22.7934","0.7171"
"5.7600","22.8734","0.7170"
"5.7800","22.9534","0.7203"
"5.8000","23.0333","0.7212"
"5.8200","23.1133","0.7220"
"5.8400","23.1933","0.7231"
"5.8600","23.2734","0.7237"
"5.8800","23.3534","0.7275"
"5.9000","23.4333","0.7274"
"5.9200","23.5133","0.7277"
"5.9400","23.5933","0.7295"
"5.9600","23.6733","0.7304"
"5.9800","23.7533","0.7307"
"6.0000","23.8333","0.7334"
"6.0200","23.9133","0.7347"
"6.0400","23.9934","0.7344"
"6.0600","24.0734","0.7369"
"6.0800","24.1534","0.7386"
"6.1000","24.2334","0.7380"
"6.1200","24.3134","0.7408"
"6.1400","24.3933","0.7409"
"6.1600","24.4733","0.7413"
"6.1800","24.5533","0.7456"
"6.2000","24.6333","0.7440"
"6.2200","24.7133","0.7442"
"6.2400","24.7933","0.7476"
"6.2600","24.8733","0.7469"
"6.2800","24.9533","0.7496"
"6.3000","25.0334","0.7506"
"6.3200","25.1134","0.7515"
"6.3400","25.1933","0.7527"
"6.3600","25.2733","0.7532"
"6.3800","25.3533","0.7557"
"6.4000","25.4333","0.7563"
"6.4200","25.5133","0.7565"
"6.4400","25.5933","0.7598"
"6.4600","25.6733","0.7586"
"6.4800","25.7533","0.7604"
"6.5000","25.8333","0.7625"
"6.5200","25.9133","0.7629"
"6.5400","25.9934","0.7637"
"6.5600","26.0734","0.7654"
"6.5800","26.1534","0.7663"
"6.6000","26.2334","0.7663"
"6.6200","26.3134","0.7684"
"6.6400","26.3934","0.7705"
"6.6600","26.4734","0.7696"
"6.6800","26.5534","0.7731"
"6.7000","26.6334","0.7730"
"6.7200","26.7134","0.7727"
"6.7400","26.7934","0.7763"
"6.7600","26.8735","0.7750"
"6.7800","26.9535","0.7764"
